,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateAutoPredictor,Grants permission to create an auto predictor,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
1,CreateDataset,Grants permission to create a dataset,Write,dataset*,,
2,CreateDataset,Grants permission to create a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateDatasetGroup,Grants permission to create a dataset group,Write,datasetGroup*,,
4,CreateDatasetGroup,Grants permission to create a dataset group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateDatasetImportJob,Grants permission to create a dataset import job,Write,datasetImportJob*,,
6,CreateDatasetImportJob,Grants permission to create a dataset import job,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateExplainability,Grants permission to create an explainability,Write,forecast*,,
8,CreateExplainability,Grants permission to create an explainability,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateExplainabilityExport,Grants permission to create an explainability export using an explainability resource,Write,explainability*,,
10,CreateExplainabilityExport,Grants permission to create an explainability export using an explainability resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreateForecast,Grants permission to create a forecast,Write,predictor*,,
12,CreateForecast,Grants permission to create a forecast,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateForecastExportJob,Grants permission to create a forecast export job using a forecast resource,Write,forecast*,,
14,CreateForecastExportJob,Grants permission to create a forecast export job using a forecast resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreatePredictor,Grants permission to create a predictor,Write,datasetGroup*,,
16,CreatePredictor,Grants permission to create a predictor,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreatePredictorBacktestExportJob,Grants permission to create a predictor backtest export job using a predictor,Write,predictor*,,
18,CreatePredictorBacktestExportJob,Grants permission to create a predictor backtest export job using a predictor,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,DeleteDataset,Grants permission to delete a dataset,Write,dataset*,,
20,DeleteDatasetGroup,Grants permission to delete a dataset group,Write,datasetGroup*,,
21,DeleteDatasetImportJob,Grants permission to delete a dataset import job,Write,datasetImportJob*,,
22,DeleteExplainability,Grants permission to delete an explainability,Write,explainability*,,
23,DeleteExplainabilityExport,Grants permission to delete an explainability export,Write,explainabilityExport*,,
24,DeleteForecast,Grants permission to delete a forecast,Write,forecast*,,
25,DeleteForecastExportJob,Grants permission to delete a forecast export job,Write,forecastExport*,,
26,DeletePredictor,Grants permission to delete a predictor,Write,predictor*,,
27,DeletePredictorBacktestExportJob,Grants permission to delete a predictor backtest export job,Write,predictorBacktestExportJob*,,
28,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,dataset*,,
29,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,datasetGroup*,,
30,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,datasetImportJob*,,
31,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,explainability*,,
32,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,explainabilityExport*,,
33,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,forecast*,,
34,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,forecastExport*,,
35,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,predictor*,,
36,DeleteResourceTree,Grants permission to delete a resource and its child resources,Write,predictorBacktestExportJob*,,
37,DescribeAutoPredictor,Grants permission to describe an auto predictor,Read,predictor*,,
38,DescribeDataset,Grants permission to describe a dataset,Read,dataset*,,
39,DescribeDatasetGroup,Grants permission to describe a dataset group,Read,datasetGroup*,,
40,DescribeDatasetImportJob,Grants permission to describe a dataset import job,Read,datasetImportJob*,,
41,DescribeExplainability,Grants permission to describe an explainability,Read,explainability*,,
42,DescribeExplainabilityExport,Grants permission to describe an explainability export,Read,explainabilityExport*,,
43,DescribeForecast,Grants permission to describe a forecast,Read,forecast*,,
44,DescribeForecastExportJob,Grants permission to describe a forecast export job,Read,forecastExport*,,
45,DescribePredictor,Grants permission to describe a predictor,Read,predictor*,,
46,DescribePredictorBacktestExportJob,Grants permission to describe a predictor backtest export job,Read,predictorBacktestExportJob*,,
47,GetAccuracyMetrics,Grants permission to get the Accuracy Metrics for a predictor,Read,predictor*,,
48,ListDatasetGroups,Grants permission to list all the dataset groups,Read,,,
