,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateSoftwareConfiguration,Creates a software configuration,Write,configuration*,,
1,CreateSoftwareConfiguration,Creates a software configuration,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,DeleteSoftwareConfiguration,Deletes the software configuration,Write,configuration*,,
3,DescribeHardwarePlatform,Describes the hardware platform,Read,,,
4,DescribeSoftwareConfiguration,Describes the software configuration,Read,configuration*,,
5,GetSoftwareURL,Get the URL for Amazon FreeRTOS software download,Read,,,
6,GetSoftwareURLForConfiguration,Get the URL for Amazon FreeRTOS software download based on the configuration,Read,,,
7,ListFreeRTOSVersions,Lists versions of AmazonFreeRTOS,List,,,
8,ListHardwarePlatforms,Lists the hardware platforms,List,,,
9,ListHardwareVendors,Lists the hardware vendors,List,,,
10,ListSoftwareConfigurations,Lists the software configurations,List,,,
11,UpdateSoftwareConfiguration,Updates the software configuration,Write,configuration*,,
