,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AcceptMatch,Grants permission to register player acceptance or rejection of a proposed FlexMatch match,Write,,,
1,ClaimGameServer,Grants permission to locate and reserve a game server to host a new game session,Write,gameServerGroup*,,
2,CreateAlias,Grants permission to define a new alias for a fleet,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateBuild,Grants permission to create a new game build using files stored in an Amazon S3 bucket,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateFleet,Grants permission to create a new fleet of computing resources to run your game servers,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
5,CreateFleetLocations,Grants permission to specify additional locations for a fleet,Write,fleet*,,
6,CreateGameServerGroup,"Grants permission to create a new game server group, set up a corresponding Auto Scaling group, and launche instances to host game servers",Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,CreateGameSession,Grants permission to start a new game session on a specified fleet,Write,,,
8,CreateGameSessionQueue,Grants permission to set up a new queue for processing game session placement requests,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateMatchmakingConfiguration,Grants permission to create a new FlexMatch matchmaker,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateMatchmakingRuleSet,Grants permission to create a new matchmaking rule set for FlexMatch,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreatePlayerSession,Grants permission to reserve an available game session slot for a player,Write,,,
12,CreatePlayerSessions,Grants permission to reserve available game session slots for multiple players,Write,,,
13,CreateScript,Grants permission to create a new Realtime Servers script,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateVpcPeeringAuthorization,Grants permission to allow GameLift to create or delete a peering connection between a GameLift fleet VPC and a VPC on another AWS account,Write,,,
15,CreateVpcPeeringConnection,Grants permission to establish a peering connection between your GameLift fleet VPC and a VPC on another account,Write,,,
16,DeleteAlias,Grants permission to delete an alias,Write,alias*,,
17,DeleteBuild,Grants permission to delete a game build,Write,build*,,
18,DeleteFleet,Grants permission to delete an empty fleet,Write,fleet*,,
19,DeleteFleetLocations,Grants permission to delete locations for a fleet,Write,fleet*,,
20,DeleteGameServerGroup,Grants permission to permanently delete a game server group and terminate FleetIQ activity for the corresponding Auto Scaling group,Write,gameServerGroup*,,
21,DeleteGameSessionQueue,Grants permission to delete an existing game session queue,Write,gameSessionQueue*,,
22,DeleteMatchmakingConfiguration,Grants permission to delete an existing FlexMatch matchmaker,Write,matchmakingConfiguration*,,
23,DeleteMatchmakingRuleSet,Grants permission to delete an existing FlexMatch matchmaking rule set,Write,matchmakingRuleSet*,,
24,DeleteScalingPolicy,Grants permission to delete a set of auto-scaling rules,Write,fleet*,,
25,DeleteScript,Grants permission to delete a Realtime Servers script,Write,script*,,
26,DeleteVpcPeeringAuthorization,Grants permission to cancel a VPC peering authorization,Write,,,
27,DeleteVpcPeeringConnection,Grants permission to remove a peering connection between VPCs,Write,,,
28,DeregisterGameServer,Grants permission to remove a game server from a game server group,Write,gameServerGroup*,,
29,DescribeAlias,Grants permission to retrieve properties for an alias,Read,alias*,,
30,DescribeBuild,Grants permission to retrieve properties for a game build,Read,build*,,
31,DescribeEC2InstanceLimits,Grants permission to retrieve the maximum allowed and current usage for EC2 instance types,Read,,,
32,DescribeFleetAttributes,"Grants permission to retrieve general properties, including status, for fleets",Read,,,
33,DescribeFleetCapacity,Grants permission to retrieve the current capacity setting for fleets,Read,,,
34,DescribeFleetEvents,Grants permission to retrieve entries from a fleet's event log,Read,fleet*,,
35,DescribeFleetLocationAttributes,"Grants permission to retrieve general properties, including statuses, for a fleet's locations",Read,fleet*,,
36,DescribeFleetLocationCapacity,Grants permission to retrieve the current capacity setting for a fleet's location,Read,fleet*,,
37,DescribeFleetLocationUtilization,Grants permission to retrieve utilization statistics for fleet's location,Read,fleet*,,
38,DescribeFleetPortSettings,Grants permission to retrieve the inbound connection permissions for a fleet,Read,fleet*,,
