,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ApproveTeamAssociation [permission only],Grants permission to approve a team association request for your AWS Account,Write,,,
1,BatchCreateTableRows,Grants permission to create new rows in a table,Write,table*,,
2,BatchDeleteTableRows,Grants permission to delete rows from a table,Write,table*,,
3,BatchUpdateTableRows,Grants permission to update rows in a table,Write,table*,,
4,BatchUpsertTableRows,Grants permission to upsert rows in a table,Write,table*,,
5,CreateTeam [permission only],Grants permission to create a new Amazon Honeycode team for your AWS Account,Write,,,
6,CreateTenant [permission only],Grants permission to create a new tenant within Amazon Honeycode for your AWS Account,Write,,,
7,DeleteDomains [permission only],Grants permission to delete Amazon Honeycode domains for your AWS Account,Write,,,
8,DeregisterGroups [permission only],Grants permission to remove groups from an Amazon Honeycode team for your AWS Account,Write,,,
9,DescribeTableDataImportJob,Grants permission to get details about a table data import job,Read,table*,,
10,DescribeTeam [permission only],Grants permission to get details about Amazon Honeycode teams for your AWS Account,Read,,,
11,GetScreenData,Grants permission to load the data from a screen,Read,screen*,,
12,InvokeScreenAutomation,Grants permission to invoke a screen automation,Write,screen-automation*,,
13,ListDomains [permission only],Grants permission to list all Amazon Honeycode domains and their verification status for your AWS Account,List,,,
14,ListGroups [permission only],Grants permission to list all groups in an Amazon Honeycode team for your AWS Account,List,,,
15,ListTableColumns,Grants permission to list the columns in a table,List,table*,,
16,ListTableRows,Grants permission to list the rows in a table,List,table*,,
17,ListTables,Grants permission to list the tables in a workbook,List,workbook*,,
18,ListTagsForResource,Grants permission to list all tags for a resource,Tagging,,,
19,ListTeamAssociations [permission only],Grants permission to list all pending and approved team associations with your AWS Account,List,,,
20,ListTenants [permission only],Grants permission to list all tenants of Amazon Honeycode for your AWS Account,List,,,
21,QueryTableRows,Grants permission to query the rows of a table using a filter,Read,table*,,
22,RegisterDomainForVerification [permission only],Grants permission to request verification of the Amazon Honeycode domains for your AWS Account,Write,,,
23,RegisterGroups [permission only],Grants permission to add groups to an Amazon Honeycode team for your AWS Account,Write,,,
24,RejectTeamAssociation [permission only],Grants permission to reject a team association request for your AWS Account,Write,,,
25,RestartDomainVerification [permission only],Grants permission to restart verification of the Amazon Honeycode domains for your AWS Account,Write,,,
26,StartTableDataImportJob,Grants permission to start a table data import job,Write,table*,,
27,TagResource,Grants permission to tag a resource,Tagging,,,
28,UntagResource,Grants permission to untag a resource,Tagging,,,
29,UpdateTeam [permission only],Grants permission to update an Amazon Honeycode team for your AWS Account,Write,,,
