,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateEntitiesToExperience,Grants permission to put principal mapping in index,Write,experience*,,
1,AssociateEntitiesToExperience,Grants permission to put principal mapping in index,Write,index*,,
2,AssociatePersonasToEntities,Defines the specific permissions of users or groups in your AWS SSO identity source with access to your Amazon Kendra experience,Write,experience*,,
3,AssociatePersonasToEntities,Defines the specific permissions of users or groups in your AWS SSO identity source with access to your Amazon Kendra experience,Write,index*,,
4,BatchDeleteDocument,Grants permission to batch delete document,Write,index*,,
5,BatchGetDocumentStatus,Grants permission to do batch get document status,Read,index*,,
6,BatchPutDocument,Grants permission to batch put document,Write,index*,,
7,ClearQuerySuggestions,"Grants permission to clear out the suggestions for a given index, generated so far",Write,index*,,
8,CreateDataSource,Grants permission to create a data source,Write,index*,,
9,CreateDataSource,Grants permission to create a data source,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateExperience,Creates an Amazon Kendra experience such as a search application,Write,index*,,
11,CreateFaq,Grants permission to create an Faq,Write,index*,,
12,CreateFaq,Grants permission to create an Faq,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateIndex,Grants permission to create an Index,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateQuerySuggestionsBlockList,Grants permission to create a QuerySuggestions BlockList,Write,index*,,
15,CreateQuerySuggestionsBlockList,Grants permission to create a QuerySuggestions BlockList,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreateThesaurus,Grants permission to create a Thesaurus,Write,index*,,
17,CreateThesaurus,Grants permission to create a Thesaurus,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,DeleteDataSource,Grants permission to delete a data source,Write,data-source*,,
19,DeleteDataSource,Grants permission to delete a data source,Write,index*,,
20,DeleteExperience,Deletes your Amazon Kendra experience such as a search application,Write,experience*,,
21,DeleteExperience,Deletes your Amazon Kendra experience such as a search application,Write,index*,,
22,DeleteFaq,Grants permission to delete an Faq,Write,faq*,,
23,DeleteFaq,Grants permission to delete an Faq,Write,index*,,
24,DeleteIndex,Grants permission to delete an Index,Write,index*,,
25,DeletePrincipalMapping,Grants permission to delete principal mapping from index,Write,index*,,
26,DeletePrincipalMapping,Grants permission to delete principal mapping from index,Write,data-source,,
27,DeleteQuerySuggestionsBlockList,Grants permission to delete a QuerySuggestions BlockList,Write,index*,,
28,DeleteQuerySuggestionsBlockList,Grants permission to delete a QuerySuggestions BlockList,Write,query-suggestions-block-list*,,
29,DeleteThesaurus,Grants permission to delete a Thesaurus,Write,index*,,
30,DeleteThesaurus,Grants permission to delete a Thesaurus,Write,thesaurus*,,
31,DescribeDataSource,Grants permission to describe a data source,Read,data-source*,,
32,DescribeDataSource,Grants permission to describe a data source,Read,index*,,
33,DescribeExperience,Gets information about your Amazon Kendra experience such as a search application,Read,experience*,,
34,DescribeExperience,Gets information about your Amazon Kendra experience such as a search application,Read,index*,,
35,DescribeFaq,Grants permission to describe an Faq,Read,faq*,,
36,DescribeFaq,Grants permission to describe an Faq,Read,index*,,
37,DescribeIndex,Grants permission to describe an Index,Read,index*,,
38,DescribePrincipalMapping,Grants permission to describe principal mapping from index,Read,index*,,
39,DescribePrincipalMapping,Grants permission to describe principal mapping from index,Read,data-source,,
40,DescribeQuerySuggestionsBlockList,Grants permission to describe a QuerySuggestions BlockList,Read,index*,,
41,DescribeQuerySuggestionsBlockList,Grants permission to describe a QuerySuggestions BlockList,Read,query-suggestions-block-list*,,
42,DescribeQuerySuggestionsConfig,Grants permission to describe the query suggestions configuration for an index,Read,index*,,
43,DescribeThesaurus,Grants permission to describe a Thesaurus,Read,index*,,
44,DescribeThesaurus,Grants permission to describe a Thesaurus,Read,thesaurus*,,
45,DisassociateEntitiesFromExperience,Prevents users or groups in your AWS SSO identity source from accessing your Amazon Kendra experience,Write,experience*,,
46,DisassociateEntitiesFromExperience,Prevents users or groups in your AWS SSO identity source from accessing your Amazon Kendra experience,Write,index*,,
47,DisassociatePersonasFromEntities,Removes the specific permissions of users or groups in your AWS SSO identity source with access to your Amazon Kendra experience,Write,experience*,,
48,DisassociatePersonasFromEntities,Removes the specific permissions of users or groups in your AWS SSO identity source with access to your Amazon Kendra experience,Write,index*,,
49,GetQuerySuggestions,Grants permission to get suggestions for a query prefix,Read,index*,,
50,GetSnapshots,Retrieves search metrics data,Read,index*,,
51,ListDataSourceSyncJobs,Grants permission to get Data Source sync job history,List,data-source*,,
52,ListDataSourceSyncJobs,Grants permission to get Data Source sync job history,List,index*,,
53,ListDataSources,Grants permission to list the data sources,List,index*,,
54,ListEntityPersonas,Lists specific permissions of users and groups with access to your Amazon Kendra experience,List,experience*,,
55,ListEntityPersonas,Lists specific permissions of users and groups with access to your Amazon Kendra experience,List,index*,,
56,ListExperienceEntities,Lists users or groups in your AWS SSO identity source that are granted access to your Amazon Kendra experience,List,experience*,,
57,ListExperienceEntities,Lists users or groups in your AWS SSO identity source that are granted access to your Amazon Kendra experience,List,index*,,
58,ListExperiences,Lists one or more Amazon Kendra experiences. You can create an Amazon Kendra experience such as a search application,List,index*,,
59,ListFaqs,Grants permission to list the Faqs,List,index*,,
60,ListGroupsOlderThanOrderingId,Grants permission to list groups that are older than an ordering id,List,index*,,
61,ListGroupsOlderThanOrderingId,Grants permission to list groups that are older than an ordering id,List,data-source,,
62,ListIndices,Grants permission to list the indexes,List,,,
63,ListQuerySuggestionsBlockLists,Grants permission to list the QuerySuggestions BlockLists,List,index*,,
64,ListTagsForResource,Grants permission to list tags for a resource,Read,data-source,,
65,ListTagsForResource,Grants permission to list tags for a resource,Read,faq,,
66,ListTagsForResource,Grants permission to list tags for a resource,Read,index,,
67,ListTagsForResource,Grants permission to list tags for a resource,Read,query-suggestions-block-list,,
68,ListTagsForResource,Grants permission to list tags for a resource,Read,thesaurus,,
69,ListThesauri,Grants permission to list the Thesauri,List,index*,,
70,PutPrincipalMapping,Grants permission to put principal mapping in index,Write,index*,,
71,PutPrincipalMapping,Grants permission to put principal mapping in index,Write,data-source,,
72,Query,Grants permission to query documents and faqs,Read,index*,,
73,StartDataSourceSyncJob,Grants permission to start Data Source sync job,Write,data-source*,,
74,StartDataSourceSyncJob,Grants permission to start Data Source sync job,Write,index*,,
75,StopDataSourceSyncJob,Grants permission to stop Data Source sync job,Write,data-source*,,
76,StopDataSourceSyncJob,Grants permission to stop Data Source sync job,Write,index*,,
77,SubmitFeedback,Grants permission to send feedback about a query results,Write,index*,,
78,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,data-source,,
79,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,faq,,
80,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,index,,
81,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,query-suggestions-block-list,,
82,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,thesaurus,,
83,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
84,UntagResource,Grants permission to remove the tag with the given key from a resource,Tagging,data-source,,
85,UntagResource,Grants permission to remove the tag with the given key from a resource,Tagging,faq,,
86,UntagResource,Grants permission to remove the tag with the given key from a resource,Tagging,index,,
87,UntagResource,Grants permission to remove the tag with the given key from a resource,Tagging,query-suggestions-block-list,,
88,UntagResource,Grants permission to remove the tag with the given key from a resource,Tagging,thesaurus,,
89,UntagResource,Grants permission to remove the tag with the given key from a resource,Tagging,,aws:TagKeys,
90,UpdateDataSource,Grants permission to update a data source,Write,data-source*,,
91,UpdateDataSource,Grants permission to update a data source,Write,index*,,
92,UpdateExperience,Updates your Amazon Kendra experience such as a search application,Write,index*,,
93,UpdateIndex,Grants permission to update an Index,Write,index*,,
94,UpdateQuerySuggestionsBlockList,Grants permission to update a QuerySuggestions BlockList,Write,index*,,
95,UpdateQuerySuggestionsBlockList,Grants permission to update a QuerySuggestions BlockList,Write,query-suggestions-block-list*,,
96,UpdateQuerySuggestionsConfig,Grants permission to update the query suggestions configuration for an index,Write,index*,,
97,UpdateThesaurus,Grants permission to update a thesaurus,Write,index*,,
98,UpdateThesaurus,Grants permission to update a thesaurus,Write,thesaurus*,,
