,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,Alter,Grants permission to alter a keyspace or table,Write,keyspace,,
1,Alter,Grants permission to alter a keyspace or table,Write,table,,
2,Alter,Grants permission to alter a keyspace or table,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,Create,Grants permission to create a keyspace or table,Write,keyspace,,
4,Create,Grants permission to create a keyspace or table,Write,table,,
5,Create,Grants permission to create a keyspace or table,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,Drop,Grants permission to drop a keyspace or table,Write,keyspace,,
7,Drop,Grants permission to drop a keyspace or table,Write,table,,
8,Modify,"Grants permission to INSERT, UPDATE or DELETE data in a table",Write,table*,,
9,Restore,Grants permission to restore table from a backup,Write,table*,,
10,Restore,Grants permission to restore table from a backup,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,Select,Grants permission to SELECT data from a table,Read,table*,,
12,TagResource,Grants permission to tag a keyspace or table,Tagging,keyspace,,
13,TagResource,Grants permission to tag a keyspace or table,Tagging,table,,
14,TagResource,Grants permission to tag a keyspace or table,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,UntagResource,Grants permission to untag a keyspace or table,Tagging,keyspace,,
16,UntagResource,Grants permission to untag a keyspace or table,Tagging,table,,
17,UntagResource,Grants permission to untag a keyspace or table,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
18,UpdatePartitioner,Grants permission to UPDATE the partitioner in a system table,Write,table*,,
