,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddApplicationInput,Adds input to the application.,Write,application*,,
1,AddApplicationOutput,Adds output to the application.,Write,application*,,
2,AddApplicationReferenceDataSource,Adds reference data source to the application.,Write,application*,,
3,CreateApplication,Creates an application.,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,DeleteApplication,Deletes the application.,Write,application*,,
5,DeleteApplicationOutput,Deletes the specified output of the application.,Write,application*,,
6,DeleteApplicationReferenceDataSource,Deletes the specified reference data source of the application.,Write,application*,,
7,DescribeApplication,Describes the specified application.,Read,application*,,
8,DiscoverInputSchema,Discovers the input schema for the application.,Read,,,
9,GetApplicationState [permission only],Grant permission to Kinesis Data Analytics console to display stream results for Kinesis Data Analytics SQL runtime applications.,Read,application*,,
10,ListApplications,List applications for the account,List,,,
11,ListTagsForResource,Fetch the tags associated with the application.,Read,application*,,
12,StartApplication,Starts the application.,Write,application*,,
13,StopApplication,Stops the application.,Write,application*,,
14,TagResource,Add tags to the application.,Tagging,application*,,
15,TagResource,Add tags to the application.,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,UntagResource,Remove the specified tags from the application.,Tagging,application*,,
17,UntagResource,Remove the specified tags from the application.,Tagging,,aws:TagKeys,
18,UpdateApplication,Updates the application.,Write,application*,,
