,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateDeliveryStream,Grants permission to create a delivery stream,Write,deliverystream*,,
1,CreateDeliveryStream,Grants permission to create a delivery stream,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,DeleteDeliveryStream,Grants permission to delete a delivery stream and its data,Write,deliverystream*,,
3,DescribeDeliveryStream,Grants permission to describe the specified delivery stream and gets the status,Read,deliverystream*,,
4,ListDeliveryStreams,Grants permission to list your delivery streams,List,,,
5,ListTagsForDeliveryStream,Grants permission to list the tags for the specified delivery stream,List,deliverystream*,,
6,PutRecord,Grants permission to write a single data record into an Amazon Kinesis Firehose delivery stream,Write,deliverystream*,,
7,PutRecordBatch,"Grants permission to write multiple data records into a delivery stream in a single call, which can achieve higher throughput per producer than when writing single records",Write,deliverystream*,,
8,StartDeliveryStreamEncryption,Grants permission to enable server-side encryption (SSE) for the delivery stream,Write,deliverystream*,,
9,StopDeliveryStreamEncryption,Grants permission to disable the specified destination of the specified delivery stream,Write,deliverystream*,,
10,TagDeliveryStream,Grants permission to add or update tags for the specified delivery stream,Tagging,deliverystream*,,
11,TagDeliveryStream,Grants permission to add or update tags for the specified delivery stream,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,UntagDeliveryStream,Grants permission to remove tags from the specified delivery stream,Tagging,deliverystream*,,
13,UntagDeliveryStream,Grants permission to remove tags from the specified delivery stream,Tagging,,aws:TagKeys,
14,UpdateDestination,Grants permission to update the specified destination of the specified delivery stream,Write,deliverystream*,,
