,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,ConnectAsMaster,Grants permission to connect as a master to the signaling channel specified by the endpoint,Write,channel*,,
1,ConnectAsViewer,Grants permission to connect as a viewer to the signaling channel specified by the endpoint,Write,channel*,,
2,CreateSignalingChannel,Grants permission to create a signaling channel,Write,channel*,,
3,CreateSignalingChannel,Grants permission to create a signaling channel,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateStream,Grants permission to create a Kinesis video stream,Write,stream*,,
5,CreateStream,Grants permission to create a Kinesis video stream,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,DeleteSignalingChannel,Grants permission to delete an existing signaling channel,Write,channel*,,
7,DeleteStream,Grants permission to delete an existing Kinesis video stream,Write,stream*,,
8,DescribeSignalingChannel,Grants permission to describe the specified signaling channel,List,channel*,,
9,DescribeStream,Grants permission to describe the specified Kinesis video stream,List,stream*,,
10,GetClip,Grants permission to get a media clip from a video stream,Read,stream*,,
11,GetDASHStreamingSessionURL,Grants permission to create a URL for MPEG-DASH video streaming,Read,stream*,,
12,GetDataEndpoint,Grants permission to get an endpoint for a specified stream for either reading or writing media data to Kinesis Video Streams,Read,stream*,,
13,GetHLSStreamingSessionURL,Grants permission to create a URL for HLS video streaming,Read,stream*,,
14,GetIceServerConfig,Grants permission to get the ICE server configuration,Read,channel*,,
15,GetMedia,Grants permission to return media content of a Kinesis video stream,Read,stream*,,
16,GetMediaForFragmentList,Grants permission to read and return media data only from persisted storage,Read,stream*,,
17,GetSignalingChannelEndpoint,Grants permission to get endpoints for a specified combination of protocol and role for a signaling channel,Read,channel*,,
18,ListFragments,Grants permission to list the fragments from archival storage based on the pagination token or selector type with range specified,List,stream*,,
19,ListSignalingChannels,Grants permission to list your signaling channels,List,,,
20,ListStreams,Grants permission to list your Kinesis video streams,List,,,
21,ListTagsForResource,Grants permission to fetch the tags associated with your resource,Read,channel,,
22,ListTagsForResource,Grants permission to fetch the tags associated with your resource,Read,stream,,
23,ListTagsForStream,Grants permission to fetch the tags associated with Kinesis video stream,Read,stream*,,
24,PutMedia,Grants permission to send media data to a Kinesis video stream,Write,stream*,,
25,SendAlexaOfferToMaster,Grants permission to send the Alexa SDP offer to the master,Write,channel*,,
26,TagResource,Grants permission to attach set of tags to your resource,Tagging,channel,,
27,TagResource,Grants permission to attach set of tags to your resource,Tagging,stream,,
28,TagResource,Grants permission to attach set of tags to your resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
29,TagStream,Grants permission to attach set of tags to your Kinesis video streams,Tagging,stream*,,
30,TagStream,Grants permission to attach set of tags to your Kinesis video streams,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
31,UntagResource,Grants permission to remove one or more tags from your resource,Tagging,channel,,
32,UntagResource,Grants permission to remove one or more tags from your resource,Tagging,stream,,
33,UntagResource,Grants permission to remove one or more tags from your resource,Tagging,,aws:TagKeys,
34,UntagStream,Grants permission to remove one or more tags from your Kinesis video streams,Tagging,stream*,,
35,UntagStream,Grants permission to remove one or more tags from your Kinesis video streams,Tagging,,aws:TagKeys,
36,UpdateDataRetention,Grants permission to update the data retention period of your Kinesis video stream,Write,stream*,,
37,UpdateSignalingChannel,Grants permission to update an existing signaling channel,Write,channel*,,
38,UpdateStream,Grants permission to update an existing Kinesis video stream,Write,stream*,,
