,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateBotVersion,Creates a new version based on the $LATEST version of the specified bot,Write,bot version*,,
1,CreateIntentVersion,Creates a new version based on the $LATEST version of the specified intent,Write,intent version*,,
2,CreateSlotTypeVersion,Creates a new version based on the $LATEST version of the specified slot type,Write,slottype version*,,
3,DeleteBot,Deletes all versions of a bot,Write,bot version*,,
4,DeleteBotAlias,Deletes an alias for a specific bot,Write,bot alias*,,
5,DeleteBotChannelAssociation,Deletes the association between a Amazon Lex bot alias and a messaging platform,Write,channel*,,
6,DeleteBotVersion,Deletes a specific version of a bot,Write,bot version*,,
7,DeleteIntent,Deletes all versions of an intent,Write,intent version*,,
8,DeleteIntentVersion,Deletes a specific version of an intent,Write,intent version*,,
9,DeleteSession,"Removes session information for a specified bot, alias, and user ID",Write,bot alias,,
10,DeleteSession,"Removes session information for a specified bot, alias, and user ID",Write,bot version,,
11,DeleteSlotType,Deletes all versions of a slot type,Write,slottype version*,,
12,DeleteSlotTypeVersion,Deletes a specific version of a slot type,Write,slottype version*,,
13,DeleteUtterances,Deletes the information Amazon Lex maintains for utterances on a specific bot and userId,Write,bot version*,,
14,GetBot,"Returns information for a specific bot. In addition to the bot name, the bot version or alias is required",Read,bot alias,,
15,GetBot,"Returns information for a specific bot. In addition to the bot name, the bot version or alias is required",Read,bot version,,
16,GetBotAlias,Returns information about a Amazon Lex bot alias,Read,bot alias*,,
17,GetBotAliases,Returns a list of aliases for a given Amazon Lex bot,List,,,
18,GetBotChannelAssociation,Returns information about the association between a Amazon Lex bot and a messaging platform,Read,channel*,,
19,GetBotChannelAssociations,Returns a list of all of the channels associated with a single bot,List,channel*,,
20,GetBotVersions,Returns information for all versions of a specific bot,List,bot version*,,
21,GetBots,"Returns information for the $LATEST version of all bots, subject to filters provided by the client",List,,,
22,GetBuiltinIntent,Returns information about a built-in intent,Read,,,
23,GetBuiltinIntents,Gets a list of built-in intents that meet the specified criteria,Read,,,
24,GetBuiltinSlotTypes,Gets a list of built-in slot types that meet the specified criteria,Read,,,
25,GetExport,Exports Amazon Lex Resource in a requested format,Read,bot version*,,
26,GetImport,Gets information about an import job started with StartImport,Read,,,
27,GetIntent,"Returns information for a specific intent. In addition to the intent name, you must also specify the intent version",Read,intent version*,,
28,GetIntentVersions,Returns information for all versions of a specific intent,List,intent version*,,
29,GetIntents,"Returns information for the $LATEST version of all intents, subject to filters provided by the client",List,,,
30,GetMigration,Grants permission to view an ongoing or completed migration,Read,,,
31,GetMigrations,Grants permission to view list of migrations from Amazon Lex v1 to Amazon Lex v2,List,,,
32,GetSession,"Returns session information for a specified bot, alias, and user ID",Read,bot alias,,
33,GetSession,"Returns session information for a specified bot, alias, and user ID",Read,bot version,,
34,GetSlotType,"Returns information about a specific version of a slot type. In addition to specifying the slot type name, you must also specify the slot type version",Read,slottype version*,,
35,GetSlotTypeVersions,Returns information for all versions of a specific slot type,List,slottype version*,,
36,GetSlotTypes,"Returns information for the $LATEST version of all slot types, subject to filters provided by the client",List,,,
37,GetUtterancesView,Returns a view of aggregate utterance data for versions of a bot for a recent time period,List,bot version*,,
38,ListTagsForResource,Lists tags for a Lex resource,Read,bot,,
39,ListTagsForResource,Lists tags for a Lex resource,Read,bot alias,,
40,ListTagsForResource,Lists tags for a Lex resource,Read,channel,,
41,PostContent,Sends user input (text or speech) to Amazon Lex,Write,bot alias,,
42,PostContent,Sends user input (text or speech) to Amazon Lex,Write,bot version,,
43,PostText,Sends user input (text-only) to Amazon Lex,Write,bot alias,,
44,PostText,Sends user input (text-only) to Amazon Lex,Write,bot version,,
45,PutBot,Creates or updates the $LATEST version of a Amazon Lex conversational bot,Write,bot version*,,
46,PutBot,Creates or updates the $LATEST version of a Amazon Lex conversational bot,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
47,PutBotAlias,Creates or updates an alias for the specific bot,Write,bot alias*,,
48,PutBotAlias,Creates or updates an alias for the specific bot,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
49,PutIntent,Creates or updates the $LATEST version of an intent,Write,intent version*,,
50,PutSession,Creates a new session or modifies an existing session with an Amazon Lex bot,Write,bot alias,,
51,PutSession,Creates a new session or modifies an existing session with an Amazon Lex bot,Write,bot version,,
52,PutSlotType,Creates or updates the $LATEST version of a slot type,Write,slottype version*,,
53,StartImport,Starts a job to import a resource to Amazon Lex,Write,,,
54,StartMigration,Grants permission to migrate a bot from Amazon Lex v1 to Amazon Lex v2,Write,bot version*,,
55,TagResource,Adds or overwrites tags to a Lex resource,Tagging,bot,,
56,TagResource,Adds or overwrites tags to a Lex resource,Tagging,bot alias,,
57,TagResource,Adds or overwrites tags to a Lex resource,Tagging,channel,,
58,TagResource,Adds or overwrites tags to a Lex resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
59,UntagResource,Removes tags from a Lex resource,Tagging,bot,,
60,UntagResource,Removes tags from a Lex resource,Tagging,bot alias,,
61,UntagResource,Removes tags from a Lex resource,Tagging,channel,,
62,UntagResource,Removes tags from a Lex resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
