,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AllocateStaticIp,Grants permission to create a static IP address that can be attached to an instance,Write,StaticIp*,,
1,AttachCertificateToDistribution,Grants permission to attach an SSL/TLS certificate to your Amazon Lightsail content delivery network (CDN) distribution,Write,Certificate*,,
2,AttachCertificateToDistribution,Grants permission to attach an SSL/TLS certificate to your Amazon Lightsail content delivery network (CDN) distribution,Write,Distribution*,,
3,AttachDisk,Grants permission to attach a disk to an instance,Write,Disk*,,
4,AttachDisk,Grants permission to attach a disk to an instance,Write,Instance*,,
5,AttachInstancesToLoadBalancer,Grants permission to attach one or more instances to a load balancer,Write,Instance*,,
6,AttachInstancesToLoadBalancer,Grants permission to attach one or more instances to a load balancer,Write,LoadBalancer*,,
7,AttachLoadBalancerTlsCertificate,Grants permission to attach a TLS certificate to a load balancer,Write,LoadBalancer*,,
8,AttachStaticIp,Grants permission to attach a static IP address to an instance,Write,Instance*,,
9,AttachStaticIp,Grants permission to attach a static IP address to an instance,Write,StaticIp*,,
10,CloseInstancePublicPorts,Grants permission to close a public port of an instance,Write,Instance*,,
11,CopySnapshot,Grants permission to copy a snapshot from one AWS Region to another in Amazon Lightsail,Write,DiskSnapshot,,
12,CopySnapshot,Grants permission to copy a snapshot from one AWS Region to another in Amazon Lightsail,Write,InstanceSnapshot,,
13,CreateBucket,Grants permission to create an Amazon Lightsail bucket,Write,Bucket*,,
14,CreateBucket,Grants permission to create an Amazon Lightsail bucket,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
15,CreateBucketAccessKey,Grants permission to create a new access key for the specified bucket,Write,Bucket*,,
16,CreateCertificate,Grants permission to create an SSL/TLS certificate,Write,Certificate*,,
17,CreateCloudFormationStack,Grants permission to create a new Amazon EC2 instance from an exported Amazon Lightsail snapshot,Write,ExportSnapshotRecord*,,
18,CreateContactMethod,Grants permission to create an email or SMS text message contact method,Write,,,
19,CreateContainerService,Grants permission to create an Amazon Lightsail container service,Write,ContainerService*,,
20,CreateContainerServiceDeployment,Grants permission to create a deployment for your Amazon Lightsail container service,Write,ContainerService*,,
21,CreateContainerServiceRegistryLogin,Grants permission to create a temporary set of log in credentials that you can use to log in to the Docker process on your local machine,Write,,,
22,CreateDisk,Grants permission to create a disk,Write,Disk*,,
23,CreateDisk,Grants permission to create a disk,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
24,CreateDiskFromSnapshot,Grants permission to create a disk from snapshot,Write,Disk*,,
25,CreateDiskFromSnapshot,Grants permission to create a disk from snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
26,CreateDiskSnapshot,Grants permission to create a disk snapshot,Write,Disk*,,
27,CreateDiskSnapshot,Grants permission to create a disk snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
28,CreateDistribution,Grants permission to create an Amazon Lightsail content delivery network (CDN) distribution,Write,Distribution*,,
29,CreateDomain,Grants permission to create a domain resource for the specified domain name,Write,Domain*,,
30,CreateDomain,Grants permission to create a domain resource for the specified domain name,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
31,CreateDomainEntry,"Grants permission to create one or more DNS record entries for a domain resource: Address (A), canonical name (CNAME), mail exchanger (MX), name server (NS), start of authority (SOA), service locator (SRV), or text (TXT)",Write,Domain*,,
32,CreateInstanceSnapshot,Grants permission to create an instance snapshot,Write,Instance*,,
33,CreateInstanceSnapshot,Grants permission to create an instance snapshot,Write,InstanceSnapshot*,,
34,CreateInstanceSnapshot,Grants permission to create an instance snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
35,CreateInstances,Grants permission to create one or more instances,Write,KeyPair*,,
36,CreateInstances,Grants permission to create one or more instances,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
37,CreateInstancesFromSnapshot,Grants permission to create one or more instances based on an instance snapshot,Write,Instance*,,
38,CreateInstancesFromSnapshot,Grants permission to create one or more instances based on an instance snapshot,Write,InstanceSnapshot*,,
39,CreateInstancesFromSnapshot,Grants permission to create one or more instances based on an instance snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
40,CreateKeyPair,Grants permission to create a key pair used to authenticate and connect to an instance,Write,KeyPair*,,
41,CreateKeyPair,Grants permission to create a key pair used to authenticate and connect to an instance,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
42,CreateLoadBalancer,Grants permission to create a load balancer,Write,LoadBalancer*,,
43,CreateLoadBalancer,Grants permission to create a load balancer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
44,CreateLoadBalancerTlsCertificate,Grants permission to create a load balancer TLS certificate,Write,LoadBalancer*,,
45,CreateRelationalDatabase,Grants permission to create a new relational database,Write,RelationalDatabase*,,
46,CreateRelationalDatabase,Grants permission to create a new relational database,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
47,CreateRelationalDatabaseFromSnapshot,Grants permission to create a new relational database from a snapshot,Write,RelationalDatabase*,,
48,CreateRelationalDatabaseFromSnapshot,Grants permission to create a new relational database from a snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
49,CreateRelationalDatabaseSnapshot,Grants permission to create a relational database snapshot,Write,RelationalDatabaseSnapshot*,,
50,CreateRelationalDatabaseSnapshot,Grants permission to create a relational database snapshot,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
51,DeleteAlarm,Grants permission to delete an alarm,Write,Alarm*,,
52,DeleteAutoSnapshot,Grants permission to delete an automatic snapshot of an instance or disk,Write,Disk,,
53,DeleteAutoSnapshot,Grants permission to delete an automatic snapshot of an instance or disk,Write,Instance,,
54,DeleteBucket,Grants permission to delete an Amazon Lightsail bucket,Write,Bucket*,,
55,DeleteBucketAccessKey,Grants permission to delete an access key for the specified Amazon Lightsail bucket,Write,Bucket*,,
56,DeleteCertificate,Grants permission to delete an SSL/TLS certificate,Write,Certificate*,,
57,DeleteContactMethod,Grants permission to delete a contact method,Write,ContactMethod*,,
58,DeleteContainerImage,Grants permission to delete a container image that is registered to your Amazon Lightsail container service,Write,ContainerService*,,
59,DeleteContainerService,Grants permission to delete your Amazon Lightsail container service,Write,ContainerService*,,
60,DeleteDisk,Grants permission to delete a disk,Write,Disk*,,
61,DeleteDiskSnapshot,Grants permission to delete a disk snapshot,Write,Disk*,,
62,DeleteDistribution,Grants permission to delete your Amazon Lightsail content delivery network (CDN) distribution,Write,Distribution*,,
63,DeleteDomain,Grants permission to delete a domain resource and all of its DNS records,Write,Domain*,,
64,DeleteDomainEntry,Grants permission to delete a DNS record entry for a domain resource,Write,Domain*,,
65,DeleteInstance,Grants permission to delete an instance,Write,Instance*,,
66,DeleteInstanceSnapshot,Grants permission to delete an instance snapshot,Write,InstanceSnapshot*,,
67,DeleteKeyPair,Grants permission to delete a key pair used to authenticate and connect to an instance,Write,KeyPair*,,
68,DeleteKnownHostKeys,Grants permission to delete the known host key or certificate used by the Amazon Lightsail browser-based SSH or RDP clients to authenticate an instance,Write,Instance*,,
69,DeleteLoadBalancer,Grants permission to delete a load balancer,Write,LoadBalancer*,,
70,DeleteLoadBalancerTlsCertificate,Grants permission to delete a load balancer TLS certificate,Write,LoadBalancer*,,
71,DeleteRelationalDatabase,Grants permission to delete a relational database,Write,RelationalDatabase*,,
