,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateTrackerConsumer,Grants permission to create an association between a geofence-collection and a tracker resource,Write,tracker*,,
1,BatchDeleteDevicePositionHistory,Grants permission to delete a batch of device position histories from a tracker resource,Write,tracker*,,
2,BatchDeleteGeofence,Grants permission to delete a batch of geofences from a geofence collection,Write,geofence-collection*,,
3,BatchEvaluateGeofences,Grants permission to evaluate device positions against the position of geofences in a given geofence collection,Write,geofence-collection*,,
4,BatchGetDevicePosition,Grants permission to send a batch request to retrieve device positions,Read,tracker*,,
5,BatchPutGeofence,Grants permission to send a batch request for adding geofences into a given geofence collection,Write,geofence-collection*,,
6,BatchUpdateDevicePosition,Grants permission to upload a position update for one or more devices to a tracker resource,Write,tracker*,,
7,CalculateRoute,Grants permission to calculate routes using a given route calculator resource,Read,route-calculator*,,
8,CalculateRouteMatrix,Grants permission to calculate a route matrix using a given route calculator resource,Read,route-calculator*,,
9,CreateGeofenceCollection,Grants permission to create a geofence-collection,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateMap,Grants permission to create a map resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreatePlaceIndex,Grants permission to create a place index resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
12,CreateRouteCalculator,Grants permission to create a route calculator resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateTracker,Grants permission to create a tracker resource,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,DeleteGeofenceCollection,Grants permission to delete a geofence-collection,Write,geofence-collection*,,
15,DeleteMap,Grants permission to delete a map resource,Write,map*,,
16,DeletePlaceIndex,Grants permission to delete a place index resource,Write,place-index*,,
17,DeleteRouteCalculator,Grants permission to delete a route calculator resource,Write,route-calculator*,,
18,DeleteTracker,Grants permission to delete a tracker resource,Write,tracker*,,
19,DescribeGeofenceCollection,Grants permission to retrieve geofence collection details,Read,geofence-collection*,,
20,DescribeMap,Grants permission to retrieve map resource details,Read,map*,,
21,DescribePlaceIndex,Grants permission to retrieve place-index resource details,Read,place-index*,,
22,DescribeRouteCalculator,Grants permission to retrieve route calculator resource details,Read,route-calculator*,,
23,DescribeTracker,Grants permission to retrieve a tracker resource details,Read,tracker*,,
24,DisassociateTrackerConsumer,Grants permission to remove the association between a tracker resource and a geofence-collection,Write,tracker*,,
25,GetDevicePosition,Grants permission to retrieve the latest device position,Read,tracker*,,
26,GetDevicePositionHistory,Grants permission to retrieve the device position history,Read,tracker*,,
27,GetGeofence,Grants permission to retrieve the geofence details from a geofence-collection,Read,geofence-collection*,,
28,GetMapGlyphs,Grants permission to retrieve the glyph file for a map resource,Read,map*,,
29,GetMapSprites,Grants permission to retrieve the sprite file for a map resource,Read,map*,,
30,GetMapStyleDescriptor,Grants permission to retrieve the map style descriptor from a map resource,Read,map*,,
31,GetMapTile,Grants permission to retrieve the map tile from the map resource,Read,map*,,
32,ListDevicePositions,Grants permission to retrieve a list of devices and their latest positions from the given tracker resource,Read,tracker*,,
33,ListGeofenceCollections,Grants permission to lists geofence-collections,List,,,
34,ListGeofences,Grants permission to list geofences stored in a given geofence collection,Read,geofence-collection*,,
35,ListMaps,Grants permission to list map resources,List,,,
36,ListPlaceIndexes,Grants permission to return a list of place index resources,List,,,
37,ListRouteCalculators,Grants permission to return a list of route calculator resources,List,,,
38,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,geofence-collection,,
39,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,map,,
40,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,place-index,,
41,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,route-calculator,,
42,ListTagsForResource,Grants permission to list the tags (metadata) which you have assigned to the resource,Read,tracker,,
43,ListTrackerConsumers,Grants permission to retrieve a list of geofence collections currently associated to the given tracker resource,Read,tracker*,,
44,ListTrackers,Grants permission to return a list of tracker resources,List,,,
45,PutGeofence,Grants permission to add a new geofence or update an existing geofence to a given geofence-collection,Write,geofence-collection*,,
46,SearchPlaceIndexForPosition,Grants permission to reverse geocodes a given coordinate,Read,place-index*,,
47,SearchPlaceIndexForSuggestions,Grants permission to generate suggestions for addresses and points of interest based on partial or misspelled free-form text,Read,place-index*,,
48,SearchPlaceIndexForText,"Grants permission to geocode free-form text, such as an address, name, city or region",Read,place-index*,,
49,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,geofence-collection,,
50,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,map,,
51,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,place-index,,
52,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,route-calculator,,
53,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,tracker,,
54,TagResource,Grants permission to adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
55,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,geofence-collection,,
56,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,map,,
57,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,place-index,,
58,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,route-calculator,,
59,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,tracker,,
60,UntagResource,Grants permission to remove the given tags (metadata) from the resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
61,UpdateGeofenceCollection,Grants permission to update a geofence collection,Write,geofence-collection*,,
62,UpdateMap,Grants permission to update a map resource,Write,map*,,
63,UpdatePlaceIndex,Grants permission to update a place index resource,Write,place-index*,,
64,UpdateRouteCalculator,Grants permission to update a route calculator resource,Write,route-calculator*,,
65,UpdateTracker,Grants permission to update a tracker resource,Write,tracker*,,
