,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateAlertManagerAlerts,Grants permission to create alerts,Write,workspace*,,
1,CreateAlertManagerAlerts,Grants permission to create alerts,Write,,aws:ResourceTag/${TagKey},
2,CreateAlertManagerDefinition,Grants permission to create an alert manager definition,Write,workspace*,,
3,CreateAlertManagerDefinition,Grants permission to create an alert manager definition,Write,,aws:ResourceTag/${TagKey},
4,CreateRuleGroupsNamespace,Grants permission to create a rule groups namespace,Write,rulegroupsnamespace*,,
5,CreateRuleGroupsNamespace,Grants permission to create a rule groups namespace,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateWorkspace,Grants permission to create a workspace,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,DeleteAlertManagerDefinition,Grants permission to delete an alert manager definition,Write,workspace*,,
8,DeleteAlertManagerDefinition,Grants permission to delete an alert manager definition,Write,,aws:ResourceTag/${TagKey},
9,DeleteAlertManagerSilence,Grants permission to delete a silence,Write,workspace*,,
10,DeleteAlertManagerSilence,Grants permission to delete a silence,Write,,aws:ResourceTag/${TagKey},
11,DeleteRuleGroupsNamespace,Grants permission to delete a rule groups namespace,Write,rulegroupsnamespace*,,
12,DeleteRuleGroupsNamespace,Grants permission to delete a rule groups namespace,Write,,aws:ResourceTag/${TagKey},
13,DeleteWorkspace,Grants permission to delete a workspace,Write,workspace*,,
14,DeleteWorkspace,Grants permission to delete a workspace,Write,,aws:ResourceTag/${TagKey},
15,DescribeAlertManagerDefinition,Grants permission to describe an alert manager definition,Read,workspace*,,
16,DescribeAlertManagerDefinition,Grants permission to describe an alert manager definition,Read,,aws:ResourceTag/${TagKey},
17,DescribeRuleGroupsNamespace,Grants permission to describe a rule groups namespace,Read,rulegroupsnamespace*,,
18,DescribeRuleGroupsNamespace,Grants permission to describe a rule groups namespace,Read,,aws:ResourceTag/${TagKey},
19,DescribeWorkspace,Grants permission to describe a workspace,Read,workspace*,,
20,DescribeWorkspace,Grants permission to describe a workspace,Read,,aws:ResourceTag/${TagKey},
21,GetAlertManagerSilence,Grants permission to get a silence,Read,workspace*,,
22,GetAlertManagerSilence,Grants permission to get a silence,Read,,aws:ResourceTag/${TagKey},
23,GetAlertManagerStatus,Grants permission to get current status of an alertmanager,Read,workspace*,,
24,GetAlertManagerStatus,Grants permission to get current status of an alertmanager,Read,,aws:ResourceTag/${TagKey},
25,GetLabels,Grants permission to retrieve AMP workspace labels,Read,workspace*,,
26,GetLabels,Grants permission to retrieve AMP workspace labels,Read,,aws:ResourceTag/${TagKey},
27,GetMetricMetadata,Grants permission to retrieve the metadata for AMP workspace metrics,Read,workspace*,,
28,GetMetricMetadata,Grants permission to retrieve the metadata for AMP workspace metrics,Read,,aws:ResourceTag/${TagKey},
29,GetSeries,Grants permission to retrieve AMP workspace time series data,Read,workspace*,,
30,GetSeries,Grants permission to retrieve AMP workspace time series data,Read,,aws:ResourceTag/${TagKey},
31,ListAlertManagerAlertGroups,Grants permission to list groups,Read,workspace*,,
32,ListAlertManagerAlertGroups,Grants permission to list groups,Read,,aws:ResourceTag/${TagKey},
33,ListAlertManagerAlerts,Grants permission to list alerts,Read,workspace*,,
34,ListAlertManagerAlerts,Grants permission to list alerts,Read,,aws:ResourceTag/${TagKey},
35,ListAlertManagerReceivers,Grants permission to list receivers,Read,workspace*,,
36,ListAlertManagerReceivers,Grants permission to list receivers,Read,,aws:ResourceTag/${TagKey},
