,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchUpdateClusters,Grants permissions to apply service updates,Write,cluster*,,ec2:CreateNetworkInterface  ec2:DeleteNetworkInterface  ec2:DescribeNetworkInterfaces  ec2:DescribeSubnets  ec2:DescribeVpcs  s3:GetObject
1,BatchUpdateClusters,Grants permissions to apply service updates,Write,,aws:ResourceTag/${TagKey},
2,CopySnapshot,Grants permissions to make a copy of an existing snapshot,Write,snapshot*,,memorydb:TagResource  s3:DeleteObject  s3:GetBucketAcl  s3:PutObject
3,CopySnapshot,Grants permissions to make a copy of an existing snapshot,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateAcl,Grants permissions to create a new access control list,Write,user*,,memorydb:TagResource
5,CreateAcl,Grants permissions to create a new access control list,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateCluster,Grants permissions to create a cluster,Write,acl*,,ec2:CreateNetworkInterface  ec2:DeleteNetworkInterface  ec2:DescribeNetworkInterfaces  ec2:DescribeSubnets  ec2:DescribeVpcs  memorydb:TagResource  s3:GetObject
7,CreateCluster,Grants permissions to create a cluster,Write,parametergroup*,,
8,CreateCluster,Grants permissions to create a cluster,Write,subnetgroup*,,
9,CreateCluster,Grants permissions to create a cluster,Write,snapshot,,
10,CreateCluster,Grants permissions to create a cluster,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreateParameterGroup,Grants permissions to create a new parameter group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,memorydb:TagResource
12,CreateSnapshot,Grants permissions to create a backup of a cluster at the current point in time,Write,cluster*,,memorydb:TagResource  s3:DeleteObject  s3:GetBucketAcl  s3:PutObject
13,CreateSnapshot,Grants permissions to create a backup of a cluster at the current point in time,Write,,aws:ResourceTag/${TagKey}  aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateSubnetGroup,Grants permissions to create a new subnet group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,memorydb:TagResource
15,CreateUser,Grants permissions to create a new user,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,memorydb:TagResource
16,DeleteAcl,Grants permissions to delete an access control list,Write,acl*,,
17,DeleteAcl,Grants permissions to delete an access control list,Write,,aws:ResourceTag/${TagKey},
18,DeleteCluster,Grants permissions to delete a previously provisioned cluster,Write,cluster*,,ec2:CreateNetworkInterface  ec2:DeleteNetworkInterface  ec2:DescribeNetworkInterfaces  ec2:DescribeSubnets  ec2:DescribeVpcs
19,DeleteCluster,Grants permissions to delete a previously provisioned cluster,Write,snapshot,,
20,DeleteCluster,Grants permissions to delete a previously provisioned cluster,Write,,aws:ResourceTag/${TagKey},
21,DeleteParameterGroup,Grants permissions to delete a parameter group,Write,parametergroup*,,
22,DeleteParameterGroup,Grants permissions to delete a parameter group,Write,,aws:ResourceTag/${TagKey},
23,DeleteSnapshot,Grants permissions to delete a snapshot,Write,snapshot*,,
24,DeleteSnapshot,Grants permissions to delete a snapshot,Write,,aws:ResourceTag/${TagKey},
25,DeleteSubnetGroup,Grants permissions to delete a subnet group,Write,subnetgroup*,,ec2:CreateNetworkInterface  ec2:DeleteNetworkInterface  ec2:DescribeNetworkInterfaces  ec2:DescribeSubnets  ec2:DescribeVpcs
26,DeleteSubnetGroup,Grants permissions to delete a subnet group,Write,,aws:ResourceTag/${TagKey},
27,DeleteUser,Grants permissions to delete a user,Write,user*,,
28,DeleteUser,Grants permissions to delete a user,Write,,aws:ResourceTag/${TagKey},
29,DescribeAcls,Grants permissions to retrieve information about access control lists,Read,acl*,,
30,DescribeAcls,Grants permissions to retrieve information about access control lists,Read,,aws:ResourceTag/${TagKey},
31,DescribeClusters,"Grants permissions to retrieve information about all provisioned clusters if no cluster identifier is specified, or about a specific cluster if a cluster identifier is supplied",Read,cluster*,,
32,DescribeClusters,"Grants permissions to retrieve information about all provisioned clusters if no cluster identifier is specified, or about a specific cluster if a cluster identifier is supplied",Read,,aws:ResourceTag/${TagKey},
33,DescribeEngineVersions,Grants permissions to list of the available engines and their versions,Read,,,
34,DescribeEvents,"Grants permissions to retrieve events related to clusters, subnet groups, and parameter groups",Read,,,
35,DescribeParameterGroups,Grants permissions to retrieve information about parameter groups,Read,parametergroup*,,
36,DescribeParameterGroups,Grants permissions to retrieve information about parameter groups,Read,,aws:ResourceTag/${TagKey},
37,DescribeParameters,Grants permissions to retrieve a detailed parameter list for a particular parameter group,Read,parametergroup*,,
38,DescribeParameters,Grants permissions to retrieve a detailed parameter list for a particular parameter group,Read,,aws:ResourceTag/${TagKey},
39,DescribeServiceUpdates,Grants permissions to retrieve details of the service updates,Read,,,
40,DescribeSnapshots,Grants permissions to retrieve information about cluster snapshots,Read,snapshot*,,
41,DescribeSnapshots,Grants permissions to retrieve information about cluster snapshots,Read,,aws:ResourceTag/${TagKey},
42,DescribeSubnetGroups,Grants permissions to retrieve a list of subnet group,Read,subnetgroup*,,
43,DescribeSubnetGroups,Grants permissions to retrieve a list of subnet group,Read,,aws:ResourceTag/${TagKey},
44,DescribeUsers,Grants permissions to retrieve information about users,Read,user*,,
45,DescribeUsers,Grants permissions to retrieve information about users,Read,,aws:ResourceTag/${TagKey},
46,FailoverShard,Grants permissions to test automatic failover on a specified shard in a cluster,Write,cluster*,,ec2:CreateNetworkInterface  ec2:DeleteNetworkInterface  ec2:DescribeNetworkInterfaces  ec2:DescribeSubnets  ec2:DescribeVpcs
47,FailoverShard,Grants permissions to test automatic failover on a specified shard in a cluster,Write,,aws:ResourceTag/${TagKey},
48,ListNodeTypeUpdates,Grants permissions to list available node type updates,Read,cluster*,,
49,ListNodeTypeUpdates,Grants permissions to list available node type updates,Read,,aws:ResourceTag/${TagKey},
50,ListTags,Grants permissions to list cost allocation tags,Read,acl,,
51,ListTags,Grants permissions to list cost allocation tags,Read,cluster,,
52,ListTags,Grants permissions to list cost allocation tags,Read,parametergroup,,
