,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateConfigurationSet,Grants permission to create a configuration set,Write,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
1,CreateConfigurationSetEventDestination,Grants permission to create a configuration set event destination,Write,configuration-set*,,
2,CreateConfigurationSetEventDestination,Grants permission to create a configuration set event destination,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
3,CreateDedicatedIpPool,Grants permission to create a new pool of dedicated IP addresses,Write,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
4,CreateDeliverabilityTestReport,Grants permission to create a new predictive inbox placement test,Write,identity*,,
5,CreateDeliverabilityTestReport,Grants permission to create a new predictive inbox placement test,Write,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
6,CreateEmailIdentity,Grants permission to start the process of verifying an email identity,Write,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
7,DeleteConfigurationSet,Grants permission to delete an existing configuration set,Write,configuration-set*,,
8,DeleteConfigurationSet,Grants permission to delete an existing configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
9,DeleteConfigurationSetEventDestination,Grants permission to delete an event destination,Write,configuration-set*,,
10,DeleteConfigurationSetEventDestination,Grants permission to delete an event destination,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
11,DeleteDedicatedIpPool,Grants permission to delete a dedicated IP pool,Write,dedicated-ip-pool*,,
12,DeleteDedicatedIpPool,Grants permission to delete a dedicated IP pool,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
13,DeleteEmailIdentity,Grants permission to delete an email identity that you previously verified,Write,identity*,,
14,DeleteEmailIdentity,Grants permission to delete an email identity that you previously verified,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
15,GetAccount,Grants permission to get information about the email-sending status and capabilities,Read,,ses:ApiVersion,
16,GetBlacklistReports,Grants permission to retrieve a list of the deny lists on which your dedicated IP addresses appear,Read,,ses:ApiVersion,
17,GetConfigurationSet,Grants permission to get information about an existing configuration set,Read,configuration-set*,,
18,GetConfigurationSet,Grants permission to get information about an existing configuration set,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
19,GetConfigurationSetEventDestinations,Grants permission to retrieve a list of event destinations that are associated with a configuration set,Read,configuration-set*,,
20,GetConfigurationSetEventDestinations,Grants permission to retrieve a list of event destinations that are associated with a configuration set,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
21,GetDedicatedIp,Grants permission to get information about a dedicated IP address,Read,,ses:ApiVersion,
22,GetDedicatedIps,Grants permission to list the dedicated IP addresses that are associated with your account,Read,dedicated-ip-pool*,,
23,GetDedicatedIps,Grants permission to list the dedicated IP addresses that are associated with your account,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
24,GetDeliverabilityDashboardOptions,Grants permission to get the status of the Deliverability dashboard,Read,,ses:ApiVersion,
25,GetDeliverabilityTestReport,Grants permission to retrieve the results of a predictive inbox placement test,Read,deliverability-test-report*,,
26,GetDeliverabilityTestReport,Grants permission to retrieve the results of a predictive inbox placement test,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
27,GetDomainDeliverabilityCampaign,Grants permission to retrieve all the deliverability data for a specific campaign,Read,,ses:ApiVersion,
28,GetDomainStatisticsReport,Grants permission to retrieve inbox placement and engagement rates for the domains that you use to send email,Read,identity*,,
29,GetDomainStatisticsReport,Grants permission to retrieve inbox placement and engagement rates for the domains that you use to send email,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
30,GetEmailIdentity,Grants permission to get information about a specific identity associated with your account,Read,identity*,,
31,GetEmailIdentity,Grants permission to get information about a specific identity associated with your account,Read,,ses:ApiVersion  aws:ResourceTag/${TagKey},
32,ListConfigurationSets,Grants permission to list all of the configuration sets associated with your account,List,,ses:ApiVersion,
33,ListDedicatedIpPools,Grants permission to list all of the dedicated IP pools that exist in your account,List,,ses:ApiVersion,
34,ListDeliverabilityTestReports,"Grants permission to retrieve a list of the predictive inbox placement tests that you've performed, regardless of their statuses",List,,ses:ApiVersion,
35,ListDomainDeliverabilityCampaigns,Grants permission to retrieve deliverability data for all the campaigns that used a specific domain to send email during a specified time range,Read,,ses:ApiVersion,
36,ListEmailIdentities,Grants permission to list all of the email identities that are associated with your account,List,,ses:ApiVersion,
37,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource,Read,configuration-set,,
38,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource,Read,dedicated-ip-pool,,
39,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource,Read,deliverability-test-report,,
40,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource,Read,identity,,
41,ListTagsForResource,Grants permission to retrieve a list of the tags (keys and values) that are associated with a specific resource,Read,,ses:ApiVersion,
42,PutAccountDedicatedIpWarmupAttributes,Grants permission to enable or disable the automatic warm-up feature for dedicated IP addresses,Write,,ses:ApiVersion,
43,PutAccountSendingAttributes,Grants permission to enable or disable the ability of your account to send email,Write,,ses:ApiVersion,
44,PutConfigurationSetDeliveryOptions,Grants permission to associate a configuration set with a dedicated IP pool,Write,configuration-set*,,
45,PutConfigurationSetDeliveryOptions,Grants permission to associate a configuration set with a dedicated IP pool,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
46,PutConfigurationSetReputationOptions,Grants permission to enable or disable collection of reputation metrics for emails that you send using a particular configuration set,Write,configuration-set*,,
47,PutConfigurationSetReputationOptions,Grants permission to enable or disable collection of reputation metrics for emails that you send using a particular configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
48,PutConfigurationSetSendingOptions,Grants permission to enable or disable email sending for messages that use a particular configuration set,Write,configuration-set*,,
49,PutConfigurationSetSendingOptions,Grants permission to enable or disable email sending for messages that use a particular configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
50,PutConfigurationSetTrackingOptions,Grants permission to specify a custom domain to use for open and click tracking elements in email that you send using a particular configuration set,Write,configuration-set*,,
51,PutConfigurationSetTrackingOptions,Grants permission to specify a custom domain to use for open and click tracking elements in email that you send using a particular configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
52,PutDedicatedIpInPool,Grants permission to move a dedicated IP address to an existing dedicated IP pool,Write,dedicated-ip-pool*,,
53,PutDedicatedIpInPool,Grants permission to move a dedicated IP address to an existing dedicated IP pool,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
54,PutDedicatedIpWarmupAttributes,Grants permission to enable dedicated IP warm up attributes,Write,,ses:ApiVersion,
55,PutDeliverabilityDashboardOption,Grants permission to enable or disable the Deliverability dashboard,Write,,ses:ApiVersion,
56,PutEmailIdentityDkimAttributes,Grants permission to enable or disable DKIM authentication for an email identity,Write,identity*,,
57,PutEmailIdentityDkimAttributes,Grants permission to enable or disable DKIM authentication for an email identity,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
58,PutEmailIdentityFeedbackAttributes,Grants permission to enable or disable feedback forwarding for an identity,Write,identity*,,
59,PutEmailIdentityFeedbackAttributes,Grants permission to enable or disable feedback forwarding for an identity,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
60,PutEmailIdentityMailFromAttributes,Grants permission to enable or disable the custom MAIL FROM domain configuration for an email identity,Write,identity*,,
61,PutEmailIdentityMailFromAttributes,Grants permission to enable or disable the custom MAIL FROM domain configuration for an email identity,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
62,SendEmail,Grants permission to send an email message,Write,identity*,,
63,SendEmail,Grants permission to send an email message,Write,,ses:ApiVersion  ses:FeedbackAddress  ses:FromAddress  ses:FromDisplayName  ses:Recipients,
64,TagResource,Grants permission to add one or more tags (keys and values) to a specified resource,Tagging,configuration-set,,
65,TagResource,Grants permission to add one or more tags (keys and values) to a specified resource,Tagging,dedicated-ip-pool,,
66,TagResource,Grants permission to add one or more tags (keys and values) to a specified resource,Tagging,deliverability-test-report,,
67,TagResource,Grants permission to add one or more tags (keys and values) to a specified resource,Tagging,identity,,
68,TagResource,Grants permission to add one or more tags (keys and values) to a specified resource,Tagging,,ses:ApiVersion  aws:TagKeys  aws:RequestTag/${TagKey},
69,UntagResource,Grants permission to remove one or more tags (keys and values) from a specified resource,Tagging,configuration-set,,
70,UntagResource,Grants permission to remove one or more tags (keys and values) from a specified resource,Tagging,dedicated-ip-pool,,
71,UntagResource,Grants permission to remove one or more tags (keys and values) from a specified resource,Tagging,deliverability-test-report,,
72,UntagResource,Grants permission to remove one or more tags (keys and values) from a specified resource,Tagging,identity,,
73,UntagResource,Grants permission to remove one or more tags (keys and values) from a specified resource,Tagging,,ses:ApiVersion  aws:TagKeys,
74,UpdateConfigurationSetEventDestination,Grants permission to update the configuration of an event destination for a configuration set,Write,configuration-set*,,
75,UpdateConfigurationSetEventDestination,Grants permission to update the configuration of an event destination for a configuration set,Write,,ses:ApiVersion  aws:ResourceTag/${TagKey},
