,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AssociateOriginationIdentity,Grants permission to associate an origination phone number or sender ID to a pool,Write,Pool*,,
1,AssociateOriginationIdentity,Grants permission to associate an origination phone number or sender ID to a pool,Write,PhoneNumber,,
2,AssociateOriginationIdentity,Grants permission to associate an origination phone number or sender ID to a pool,Write,SenderId,,
3,CreateConfigurationSet,Grants permission to create a configuration set,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,sms-voice:TagResource
4,CreateEventDestination,Grants permission to create an event destination within a configuration set,Write,ConfigurationSet*,,iam:PassRole
5,CreateOptOutList,Grants permission to create an opt-out list,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,sms-voice:TagResource
6,CreatePool,Grants permission to create a pool,Write,PhoneNumber,,sms-voice:TagResource
7,CreatePool,Grants permission to create a pool,Write,SenderId,,
8,CreatePool,Grants permission to create a pool,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,DeleteConfigurationSet,Grants permission to delete a configuration set,Write,ConfigurationSet*,,
10,DeleteDefaultMessageType,Grants permission to delete the default message type for a configuration set,Write,ConfigurationSet*,,
11,DeleteDefaultSenderId,Grants permission to delete the default sender ID for a configuration set,Write,ConfigurationSet*,,
12,DeleteEventDestination,Grants permission to delete an event destination within a configuration set,Write,ConfigurationSet*,,
13,DeleteKeyword,Grants permission to delete a keyword for a pool or origination phone number,Write,PhoneNumber,,
14,DeleteKeyword,Grants permission to delete a keyword for a pool or origination phone number,Write,Pool,,
15,DeleteOptOutList,Grants permission to delete an opt-out list,Write,OptOutList*,,
16,DeleteOptedOutNumber,Grants permission to delete a destination phone number from an opt-out list,Write,OptOutList*,,
17,DeletePool,Grants permission to delete a pool,Write,Pool*,,
18,DeleteTextMessageSpendLimitOverride,Grants permission to delete an override for your account's text messaging monthly spend limit,Write,,,
19,DeleteVoiceMessageSpendLimitOverride,Grants permission to delete an override for your account's voice messaging monthly spend limit,Write,,,
20,DescribeAccountAttributes,Grants permission to describe the attributes of your account,Read,,,
21,DescribeAccountLimits,Grants permission to describe the service quotas for your account,Read,,,
22,DescribeConfigurationSets,Grants permission to describe the configuration sets in your account,Read,ConfigurationSet,,
23,DescribeKeywords,Grants permission to describe the keywords for a pool or origination phone number,Read,PhoneNumber,,
24,DescribeKeywords,Grants permission to describe the keywords for a pool or origination phone number,Read,Pool,,
25,DescribeOptOutLists,Grants permission to describe the opt-out lists in your account,Read,OptOutList,,
26,DescribeOptedOutNumbers,Grants permission to describe the destination phone numbers in an opt-out list,Read,OptOutList*,,
27,DescribePhoneNumbers,Grants permission to describe the origination phone numbers in your account,Read,PhoneNumber,,
28,DescribePools,Grants permission to describe the pools in your account,Read,Pool,,
29,DescribeSenderIds,Grants permission to describe the sender IDs in your account,Read,SenderId,,
30,DescribeSpendLimits,Grants permission to describe the monthly spend limits for your account,Read,,,
31,DisassociateOriginationIdentity,Grants permission to disassociate an origination phone number or sender ID from a pool,Write,Pool*,,
32,DisassociateOriginationIdentity,Grants permission to disassociate an origination phone number or sender ID from a pool,Write,PhoneNumber,,
33,DisassociateOriginationIdentity,Grants permission to disassociate an origination phone number or sender ID from a pool,Write,SenderId,,
34,ListPoolOriginationIdentities,Grants permission to list all origination phone numbers and sender IDs associated to a pool,Read,Pool*,,
35,ListTagsForResource,Grants permission to list the tags for a resource,Read,ConfigurationSet,,
36,ListTagsForResource,Grants permission to list the tags for a resource,Read,OptOutList,,
37,ListTagsForResource,Grants permission to list the tags for a resource,Read,PhoneNumber,,
38,ListTagsForResource,Grants permission to list the tags for a resource,Read,Pool,,
39,ListTagsForResource,Grants permission to list the tags for a resource,Read,SenderId,,
40,PutKeyword,Grants permission to create or update a keyword for a pool or origination phone number,Write,PhoneNumber,,
41,PutKeyword,Grants permission to create or update a keyword for a pool or origination phone number,Write,Pool,,
42,PutOptedOutNumber,Grants permission to put a destination phone number into an opt-out list,Write,OptOutList*,,
43,ReleasePhoneNumber,Grants permission to release an origination phone number,Write,PhoneNumber*,,
44,RequestPhoneNumber,Grants permission to request an origination phone number,Write,Pool,,sms-voice:AssociateOriginationIdentity  sms-voice:TagResource
45,RequestPhoneNumber,Grants permission to request an origination phone number,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
46,SendTextMessage,Grants permission to send a text message to a destination phone number,Write,PhoneNumber,,
47,SendTextMessage,Grants permission to send a text message to a destination phone number,Write,Pool,,
48,SendTextMessage,Grants permission to send a text message to a destination phone number,Write,SenderId,,
49,SendVoiceMessage,Grants permission to send a voice message to a destination phone number,Write,PhoneNumber,,
50,SendVoiceMessage,Grants permission to send a voice message to a destination phone number,Write,Pool,,
51,SetDefaultMessageType,Grants permission to set the default message type for a configuration set,Write,ConfigurationSet*,,
52,SetDefaultSenderId,Grants permission to set the default sender ID for a configuration set,Write,ConfigurationSet*,,
53,SetTextMessageSpendLimitOverride,Grants permission to set an override for your account's text messaging monthly spend limit,Write,,,
54,SetVoiceMessageSpendLimitOverride,Grants permission to set an override for your account's voice messaging monthly spend limit,Write,,,
55,TagResource,Grants permission to add tags to a resource,Tagging,ConfigurationSet,,
56,TagResource,Grants permission to add tags to a resource,Tagging,OptOutList,,
57,TagResource,Grants permission to add tags to a resource,Tagging,PhoneNumber,,
58,TagResource,Grants permission to add tags to a resource,Tagging,Pool,,
59,TagResource,Grants permission to add tags to a resource,Tagging,SenderId,,
60,TagResource,Grants permission to add tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
61,UntagResource,Grants permission to remove tags from a resource,Tagging,ConfigurationSet,,
62,UntagResource,Grants permission to remove tags from a resource,Tagging,OptOutList,,
63,UntagResource,Grants permission to remove tags from a resource,Tagging,PhoneNumber,,
64,UntagResource,Grants permission to remove tags from a resource,Tagging,Pool,,
65,UntagResource,Grants permission to remove tags from a resource,Tagging,SenderId,,
66,UntagResource,Grants permission to remove tags from a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
67,UpdateEventDestination,Grants permission to update an event destination within a configuration set,Write,ConfigurationSet*,,iam:PassRole
68,UpdatePhoneNumber,Grants permission to update an origination phone number's configuration,Write,PhoneNumber*,,
69,UpdatePool,Grants permission to update a pool's configuration,Write,Pool*,,
