,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AccountConfigurations [permission only],Grants permission to enable setting default access to AWS resources,Write,,,
1,CancelIngestion,Grants permission to cancel a SPICE ingestions on a dataset,Write,ingestion*,,
2,CancelIngestion,Grants permission to cancel a SPICE ingestions on a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
3,CreateAccountCustomization,Grants permission to create an account customization for QuickSight account or namespace,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateAdmin [permission only],"Grants permission to provision Amazon QuickSight administrators, authors, and readers",Write,user*,,
5,CreateAdmin [permission only],"Grants permission to provision Amazon QuickSight administrators, authors, and readers",Write,,aws:TagKeys  aws:RequestTag/${TagKey},
6,CreateAnalysis,Grants permission to create an analysis from a template,Write,analysis*,,
7,CreateAnalysis,Grants permission to create an analysis from a template,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,CreateCustomPermissions [permission only],Grants permission to create a custom permissions resource for restricting user access,Permissions management,,aws:RequestTag/${TagKey}  aws:TagKeys,
9,CreateDashboard,Grants permission to create a QuickSight Dashboard,Write,dashboard*,,
10,CreateDashboard,Grants permission to create a QuickSight Dashboard,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
11,CreateDataSet,Grants permission to create a dataset,Write,datasource*,,quicksight:PassDataSource
12,CreateDataSet,Grants permission to create a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateDataSource,Grants permission to create a data source,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
14,CreateEmailCustomizationTemplate [permission only],Grants permission to create a QuickSight email customization template,Write,emailCustomizationTemplate*,,
15,CreateFolder,Grants permission to create a QuickSight folder,Write,folder*,,
16,CreateFolder,Grants permission to create a QuickSight folder,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
17,CreateFolderMembership,"Grants permission to add a QuickSight Dashboard, Analysis or Dataset to a QuickSight Folder",Write,folder*,,
18,CreateFolderMembership,"Grants permission to add a QuickSight Dashboard, Analysis or Dataset to a QuickSight Folder",Write,analysis,,
19,CreateFolderMembership,"Grants permission to add a QuickSight Dashboard, Analysis or Dataset to a QuickSight Folder",Write,dashboard,,
20,CreateFolderMembership,"Grants permission to add a QuickSight Dashboard, Analysis or Dataset to a QuickSight Folder",Write,dataset,,
21,CreateGroup,Grants permission to create a QuickSight group,Write,group*,,
22,CreateGroup,Grants permission to create a QuickSight group,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
23,CreateGroupMembership,Grants permission to add a QuickSight user to a QuickSight group,Write,group*,quicksight:UserName,
24,CreateGroupMembership,Grants permission to add a QuickSight user to a QuickSight group,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
25,CreateIAMPolicyAssignment,Grants permission to create an assignment with one specified IAM Policy ARN that will be assigned to specified groups or users of QuickSight,Write,assignment*,,
26,CreateIngestion,Grants permission to start a SPICE ingestion on a dataset,Write,ingestion*,,
27,CreateIngestion,Grants permission to start a SPICE ingestion on a dataset,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
