,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,BatchExecuteStatement,Grants permission to execute multiple queries under a single connection.,Write,cluster*,,
1,CancelStatement,Grants permission to cancel a running query,Write,,redshift-data:statement-owner-iam-userid,
2,DescribeStatement,Grants permission to retrieve detailed information about a statement execution,Read,,redshift-data:statement-owner-iam-userid,
3,DescribeTable,Grants permission to retrieve metadata about a particular table,Read,cluster*,,
4,ExecuteStatement,Grants permission to execute a query,Write,cluster*,,
5,GetStatementResult,Grants permission to fetch the result of a query,Read,,redshift-data:statement-owner-iam-userid,
6,ListDatabases,Grants permission to list databases for a given cluster,Read,cluster*,,
7,ListSchemas,Grants permission to list schemas for a given cluster,Read,cluster*,,
8,ListStatements,Grants permission to list queries for a given principal,List,,redshift-data:statement-owner-iam-userid,
9,ListTables,Grants permission to list tables for a given cluster,List,cluster*,,
