,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CompareFaces,Grants permission to compare faces in the source input image with each face detected in the target input image,Read,,,
1,CreateCollection,Grants permission to create a collection in an AWS Region,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateDataset,Grants permission to create a new Amazon Rekognition Custom Labels dataset,Write,project*,,
3,CreateProject,Grants permission to create an Amazon Rekognition Custom Labels project,Write,project*,,
4,CreateProjectVersion,Grants permission to begin training a new version of a model,Write,project*,,
5,CreateProjectVersion,Grants permission to begin training a new version of a model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
6,CreateStreamProcessor,Grants permission to create an Amazon Rekognition stream processor,Write,collection*,,
7,CreateStreamProcessor,Grants permission to create an Amazon Rekognition stream processor,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,DeleteCollection,Grants permission to delete the specified collection,Write,collection*,,
9,DeleteDataset,Grants permission to delete an existing Amazon Rekognition Custom Labels dataset,Write,dataset*,,
10,DeleteFaces,Grants permission to delete faces from a collection,Write,collection*,,
11,DeleteProject,Grants permission to delete a project,Write,project*,,
12,DeleteProjectVersion,Grants permission to delete a model,Write,projectversion*,,
13,DeleteStreamProcessor,Grants permission to delete the specified stream processor,Write,streamprocessor*,,
14,DescribeCollection,Grants permission to read details about a collection,Read,collection*,,
15,DescribeDataset,Grants permission to describe an Amazon Rekognition Custom Labels dataset,Read,dataset*,,
16,DescribeProjectVersions,Grants permission to list the versions of a model in an Amazon Rekognition Custom Labels project,Read,project*,,
17,DescribeProjects,Grants permission to list Amazon Rekognition Custom Labels projects,Read,,,
18,DescribeStreamProcessor,Grants permission to get information about the specified stream processor,Read,streamprocessor*,,
19,DetectCustomLabels,Grants permission to detect custom labels in a supplied image,Read,projectversion*,,
20,DetectFaces,Grants permission to detect human faces within an image provided as input,Read,,,
21,DetectLabels,Grants permission to detect instances of real-world labels within an image provided as input,Read,,,
22,DetectModerationLabels,Grants permission to detect moderation labels within the input image,Read,,,
23,DetectProtectiveEquipment,Grants permission to detect Personal Protective Equipment in the input image,Read,,,
24,DetectText,Grants permission to detect text in the input image and convert it into machine-readable text,Read,,,
25,DistributeDatasetEntries,Grants permission to distribute the entries in a training dataset across the training dataset and the test dataset for a project,Write,dataset*,,
26,GetCelebrityInfo,"Grants permission to read the name, and additional information, of a celebrity",Read,,,
27,GetCelebrityRecognition,Grants permission to read the celebrity recognition results found in a stored video by an asynchronous celebrity recognition job,Read,,,
28,GetContentModeration,Grants permission to read the content moderation analysis results found in a stored video by an asynchronous content moderation job,Read,,,
29,GetFaceDetection,Grants permission to read the faces detection results found in a stored video by an asynchronous face detection job,Read,,,
30,GetFaceSearch,Grants permission to read the matching collection faces found in a stored video by an asynchronous face search job,Read,,,
31,GetLabelDetection,Grants permission to read the label detected resuls found in a stored video by an asynchronous label detection job,Read,,,
32,GetPersonTracking,Grants permission to read the list of persons detected in a stored video by an asynchronous person tracking job,Read,,,
33,GetSegmentDetection,Grants permission to get the vdeo segments found in a stored video by an asynchronous segment detection job,Read,,,
34,GetTextDetection,Grants permission to get the text found in a stored video by an asynchronous text detection job,Read,,,
35,IndexFaces,Grants permission to update an existing collection with faces detected in the input image,Write,collection*,,
36,ListCollections,Grants permission to read the collection Id's in your account,Read,collection*,,
37,ListDatasetEntries,Grants permission to list the dataset entries in an existing Amazon Rekognition Custom Labels dataset,Read,dataset*,,
38,ListDatasetLabels,Grants permission to list the labels in a dataset,Read,dataset*,,
39,ListFaces,Grants permission to read metadata for faces in the specificed collection,Read,collection*,,
40,ListStreamProcessors,Grants permission to get a list of your stream processors,List,streamprocessor*,,
41,ListTagsForResource,Grants permission to return a list of tags associated with a resource,Read,projectversion*,,
42,RecognizeCelebrities,Grants permission to detect celebrities in the input image,Read,,,
43,SearchFaces,Grants permission to search the specificed collection for the supplied face ID,Read,collection*,,
44,SearchFacesByImage,Grants permission to search the specificed collection for the largest face in the input image,Read,collection*,,
45,StartCelebrityRecognition,Grants permission to start the asynchronous recognition of celebrities in a stored video,Write,,,
46,StartContentModeration,Grants permission to start asynchronous detection of explicit or suggestive adult content in a stored video,Write,,,
47,StartFaceDetection,Grants permission to start asynchronous detection of faces in a stored video,Write,,,
48,StartFaceSearch,Grants permission to start an asynchronous search for faces in a collection that match the faces of persons detected in a stored video,Write,collection*,,
49,StartLabelDetection,Grants permission to start asynchronous detection of labels in a stored video,Write,,,
50,StartPersonTracking,Grants permission to start the asynchronous tracking of persons in a stored video,Write,,,
51,StartProjectVersion,Grants permission to start running a model version,Write,projectversion*,,
52,StartSegmentDetection,Grants permission to start the asynchronous detection of segments in a stored video,Write,,,
53,StartStreamProcessor,Grants permission to start running a stream processor,Write,streamprocessor*,,
54,StartTextDetection,Grants permission to start the asynchronous detection of text in a stored video,Write,,,
55,StopProjectVersion,Grants permission to stop a running model version,Write,projectversion*,,
56,StopStreamProcessor,Grants permission to stop a running stream processor,Write,streamprocessor*,,
57,TagResource,Grants permission to add one or more tags to a resource,Tagging,collection,,
58,TagResource,Grants permission to add one or more tags to a resource,Tagging,projectversion,,
59,TagResource,Grants permission to add one or more tags to a resource,Tagging,streamprocessor,,
60,TagResource,Grants permission to add one or more tags to a resource,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
61,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,collection,,
62,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,projectversion,,
63,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,streamprocessor,,
64,UntagResource,Grants permission to remove one or more tags from a resource,Tagging,,aws:TagKeys,
65,UpdateDatasetEntries,Grants permission to add or update one or more JSON Lines (entries) in a dataset,Write,dataset*,,
