,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateCluster,Grants permission to create a cluster,Write,cluster*,,
1,CreateCluster,Grants permission to create a cluster,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
2,CreateControlPanel,Grants permission to create a control panel,Write,controlpanel*,,
3,CreateControlPanel,Grants permission to create a control panel,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
4,CreateRoutingControl,Grants permission to create a routing control,Write,routingcontrol*,,
5,CreateSafetyRule,Grants permission to create a safety rule,Write,safetyrule*,,
6,CreateSafetyRule,Grants permission to create a safety rule,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
7,DeleteCluster,Grants permission to delete a cluster,Write,cluster*,,
8,DeleteControlPanel,Grants permission to delete a control panel,Write,controlpanel*,,
9,DeleteRoutingControl,Grants permission to delete a routing control,Write,routingcontrol*,,
10,DeleteSafetyRule,Grants permission to delete a safety rule,Write,safetyrule*,,
11,DescribeCluster,Grants permission to describe a cluster,Read,cluster*,,
12,DescribeControlPanel,Grants permission to describe a control panel,Read,controlpanel*,,
13,DescribeRoutingControl,Grants permission to describe a routing control,Read,routingcontrol*,,
14,DescribeRoutingControlByName,Grants permission to describe a routing control,Read,routingcontrol*,,
15,DescribeSafetyRule,Grants permission to describe a safety rule,Read,safetyrule*,,
16,ListAssociatedRoute53HealthChecks,Grants permission to list associated Route 53 health checks,List,,,
17,ListClusters,Grants permission to list clusters,Read,,,
18,ListControlPanels,Grants permission to list control panels,Read,,,
19,ListRoutingControls,Grants permission to list routing controls,Read,,,
20,ListSafetyRules,Grants permission to list safety rules,Read,controlpanel*,,
21,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
22,TagResource,Grants permission to tag a resource,Tagging,cluster,,
23,TagResource,Grants permission to tag a resource,Tagging,controlpanel,,
24,TagResource,Grants permission to tag a resource,Tagging,safetyrule,,
25,TagResource,Grants permission to tag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
26,UntagResource,Grants permission to remove tags from a resource,Tagging,cluster,,
27,UntagResource,Grants permission to remove tags from a resource,Tagging,controlpanel,,
28,UntagResource,Grants permission to remove tags from a resource,Tagging,safetyrule,,
29,UntagResource,Grants permission to remove tags from a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
30,UpdateControlPanel,Grants permission to update a cluster,Write,controlpanel*,,
31,UpdateRoutingControl,Grants permission to update a routing control,Write,routingcontrol*,,
32,UpdateSafetyRule,Grants permission to update a safety rule,Write,safetyrule*,,
