,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AbortMultipartUpload,Grants permission to abort a multipart upload,Write,objectlambdaaccesspoint*,,
1,AbortMultipartUpload,Grants permission to abort a multipart upload,Write,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
2,DeleteObject,"Grants permission to remove the null version of an object and insert a delete marker, which becomes the current version of the object",Write,objectlambdaaccesspoint*,,
3,DeleteObject,"Grants permission to remove the null version of an object and insert a delete marker, which becomes the current version of the object",Write,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
4,DeleteObjectTagging,Grants permission to use the tagging subresource to remove the entire tag set from the specified object,Tagging,objectlambdaaccesspoint*,,
5,DeleteObjectTagging,Grants permission to use the tagging subresource to remove the entire tag set from the specified object,Tagging,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
6,DeleteObjectVersion,Grants permission to remove a specific version of an object,Write,objectlambdaaccesspoint*,,
7,DeleteObjectVersion,Grants permission to remove a specific version of an object,Write,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion  s3-object-lambda:versionid,
8,DeleteObjectVersionTagging,Grants permission to remove the entire tag set for a specific version of the object,Tagging,objectlambdaaccesspoint*,,
9,DeleteObjectVersionTagging,Grants permission to remove the entire tag set for a specific version of the object,Tagging,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion  s3-object-lambda:versionid,
10,GetObject,Grants permission to retrieve objects from Amazon S3,Read,objectlambdaaccesspoint*,,
11,GetObject,Grants permission to retrieve objects from Amazon S3,Read,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
12,GetObjectAcl,Grants permission to return the access control list (ACL) of an object,Read,objectlambdaaccesspoint*,,
13,GetObjectAcl,Grants permission to return the access control list (ACL) of an object,Read,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
14,GetObjectLegalHold,Grants permission to get an object's current Legal Hold status,Read,objectlambdaaccesspoint*,,
15,GetObjectLegalHold,Grants permission to get an object's current Legal Hold status,Read,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
16,GetObjectRetention,Grants permission to retrieve the retention settings for an object,Read,objectlambdaaccesspoint*,,
17,GetObjectRetention,Grants permission to retrieve the retention settings for an object,Read,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
18,GetObjectTagging,Grants permission to return the tag set of an object,Read,objectlambdaaccesspoint*,,
19,GetObjectTagging,Grants permission to return the tag set of an object,Read,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
20,GetObjectVersion,Grants permission to retrieve a specific version of an object,Read,objectlambdaaccesspoint*,,
21,GetObjectVersion,Grants permission to retrieve a specific version of an object,Read,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion  s3-object-lambda:versionid,
22,GetObjectVersionAcl,Grants permission to return the access control list (ACL) of a specific object version,Read,objectlambdaaccesspoint*,,
23,GetObjectVersionAcl,Grants permission to return the access control list (ACL) of a specific object version,Read,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion  s3-object-lambda:versionid,
24,GetObjectVersionTagging,Grants permission to return the tag set for a specific version of the object,Read,objectlambdaaccesspoint*,,
25,GetObjectVersionTagging,Grants permission to return the tag set for a specific version of the object,Read,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion  s3-object-lambda:versionid,
26,ListBucket,Grants permission to list some or all of the objects in an Amazon S3 bucket (up to 1000),List,objectlambdaaccesspoint*,,
27,ListBucket,Grants permission to list some or all of the objects in an Amazon S3 bucket (up to 1000),List,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
28,ListBucketMultipartUploads,Grants permission to list in-progress multipart uploads,List,objectlambdaaccesspoint*,,
29,ListBucketMultipartUploads,Grants permission to list in-progress multipart uploads,List,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
30,ListBucketVersions,Grants permission to list metadata about all the versions of objects in an Amazon S3 bucket,List,objectlambdaaccesspoint*,,
31,ListBucketVersions,Grants permission to list metadata about all the versions of objects in an Amazon S3 bucket,List,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
32,ListMultipartUploadParts,Grants permission to list the parts that have been uploaded for a specific multipart upload,List,objectlambdaaccesspoint*,,
33,ListMultipartUploadParts,Grants permission to list the parts that have been uploaded for a specific multipart upload,List,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
34,PutObject,Grants permission to add an object to a bucket,Write,objectlambdaaccesspoint*,,
35,PutObject,Grants permission to add an object to a bucket,Write,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
36,PutObjectAcl,Grants permission to set the access control list (ACL) permissions for new or existing objects in an S3 bucket.,Permissions management,objectlambdaaccesspoint*,,
37,PutObjectAcl,Grants permission to set the access control list (ACL) permissions for new or existing objects in an S3 bucket.,Permissions management,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
38,PutObjectLegalHold,Grants permission to apply a Legal Hold configuration to the specified object,Write,objectlambdaaccesspoint*,,
39,PutObjectLegalHold,Grants permission to apply a Legal Hold configuration to the specified object,Write,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
40,PutObjectRetention,Grants permission to place an Object Retention configuration on an object,Write,objectlambdaaccesspoint*,,
41,PutObjectRetention,Grants permission to place an Object Retention configuration on an object,Write,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
42,PutObjectTagging,Grants permission to set the supplied tag-set to an object that already exists in a bucket,Tagging,objectlambdaaccesspoint*,,
43,PutObjectTagging,Grants permission to set the supplied tag-set to an object that already exists in a bucket,Tagging,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
44,PutObjectVersionAcl,Grants permission to use the acl subresource to set the access control list (ACL) permissions for an object that already exists in a bucket,Permissions management,objectlambdaaccesspoint*,,
45,PutObjectVersionAcl,Grants permission to use the acl subresource to set the access control list (ACL) permissions for an object that already exists in a bucket,Permissions management,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion  s3-object-lambda:versionid,
46,PutObjectVersionTagging,Grants permission to set the supplied tag-set for a specific version of an object,Tagging,objectlambdaaccesspoint*,,
47,PutObjectVersionTagging,Grants permission to set the supplied tag-set for a specific version of an object,Tagging,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion  s3-object-lambda:versionid,
48,RestoreObject,Grants permission to restore an archived copy of an object back into Amazon S3,Write,objectlambdaaccesspoint*,,
49,RestoreObject,Grants permission to restore an archived copy of an object back into Amazon S3,Write,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
50,WriteGetObjectResponse,Grants permission to provide data for GetObject requests send to S3 Object Lambda,Write,objectlambdaaccesspoint*,,
51,WriteGetObjectResponse,Grants permission to provide data for GetObject requests send to S3 Object Lambda,Write,,s3-object-lambda:authType  s3-object-lambda:signatureAge  s3-object-lambda:TlsVersion,
