,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AbortMultipartUpload,Grants permission to abort a multipart upload,Write,object*,,
1,AbortMultipartUpload,Grants permission to abort a multipart upload,Write,,s3-outposts:DataAccessPointArn  s3-outposts:DataAccessPointAccount  s3-outposts:AccessPointNetworkOrigin  s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
2,CreateAccessPoint,Grants permission to create a new access point,Write,accesspoint*,,
3,CreateAccessPoint,Grants permission to create a new access point,Write,,s3-outposts:DataAccessPointAccount  s3-outposts:DataAccessPointArn  s3-outposts:AccessPointNetworkOrigin  s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
4,CreateBucket,Grants permission to create a new bucket,Write,bucket*,,
5,CreateBucket,Grants permission to create a new bucket,Write,,s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
6,CreateEndpoint,Grants permission to create a new endpoint,Write,endpoint*,,
7,DeleteAccessPoint,Grants permission to delete the access point named in the URI,Write,accesspoint*,,
8,DeleteAccessPoint,Grants permission to delete the access point named in the URI,Write,,s3-outposts:DataAccessPointArn  s3-outposts:DataAccessPointAccount  s3-outposts:AccessPointNetworkOrigin  s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
9,DeleteAccessPointPolicy,Grants permission to delete the policy on a specified access point,Permissions management,accesspoint*,,
10,DeleteAccessPointPolicy,Grants permission to delete the policy on a specified access point,Permissions management,,s3-outposts:DataAccessPointArn  s3-outposts:DataAccessPointAccount  s3-outposts:AccessPointNetworkOrigin  s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
11,DeleteBucket,Grants permission to delete the bucket named in the URI,Write,bucket*,,
12,DeleteBucket,Grants permission to delete the bucket named in the URI,Write,,s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
13,DeleteBucketPolicy,Grants permission to delete the policy on a specified bucket,Permissions management,bucket*,,
14,DeleteBucketPolicy,Grants permission to delete the policy on a specified bucket,Permissions management,,s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
15,DeleteEndpoint,Grants permission to delete the endpoint named in the URI,Write,endpoint*,,
16,DeleteObject,"Grants permission to remove the null version of an object and insert a delete marker, which becomes the current version of the object",Write,object*,,
17,DeleteObject,"Grants permission to remove the null version of an object and insert a delete marker, which becomes the current version of the object",Write,,s3-outposts:DataAccessPointAccount  s3-outposts:DataAccessPointArn  s3-outposts:AccessPointNetworkOrigin  s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
18,DeleteObjectTagging,Grants permission to use the tagging subresource to remove the entire tag set from the specified object,Tagging,object*,,
19,DeleteObjectTagging,Grants permission to use the tagging subresource to remove the entire tag set from the specified object,Tagging,,s3-outposts:DataAccessPointAccount  s3-outposts:DataAccessPointArn  s3-outposts:AccessPointNetworkOrigin  s3-outposts:ExistingObjectTag/<key>  s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
20,GetAccessPoint,Grants permission to return configuration information about the specified access point,Read,,s3-outposts:DataAccessPointAccount  s3-outposts:DataAccessPointArn  s3-outposts:AccessPointNetworkOrigin  s3-outposts:authType  s3-outposts:signatureAge  s3-outposts:signatureversion  s3-outposts:x-amz-content-sha256,
21,GetAccessPointPolicy,Grants permission to returns the access point policy associated with the specified access point,Read,accesspoint*,,
