,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddPermission,"Grants permission to add a statement to a topic's access control policy, granting access for the specified AWS accounts to the specified actions",Permissions management,topic*,,
1,CheckIfPhoneNumberIsOptedOut,Grants permission to accept a phone number and indicate whether the phone holder has opted out of receiving SMS messages from your account,Read,,,
2,ConfirmSubscription,Grants permission to verify an endpoint owner's intent to receive messages by validating the token sent to the endpoint by an earlier Subscribe action,Write,topic*,,
3,CreatePlatformApplication,"Grants permission to create a platform application object for one of the supported push notification services, such as APNS and GCM, to which devices and mobile apps may register",Write,,,iam:PassRole
4,CreatePlatformEndpoint,"Grants permission to create an endpoint for a device and mobile app on one of the supported push notification services, such as GCM and APNS",Write,,,
5,CreateSMSSandboxPhoneNumber,Grants permission to add a destination phone number and send a one-time password (OTP) to that phone number for an AWS account,Write,,,
6,CreateTopic,Grants permission to create a topic to which notifications can be published,Write,topic*,,iam:PassRole
7,CreateTopic,Grants permission to create a topic to which notifications can be published,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
8,DeleteEndpoint,Grants permission to delete the endpoint for a device and mobile app from Amazon SNS,Write,,,
9,DeletePlatformApplication,"Grants permission to delete a platform application object for one of the supported push notification services, such as APNS and GCM",Write,,,
10,DeleteSMSSandboxPhoneNumber,Grants permission to delete an AWS account's verified or pending phone number,Write,,,
11,DeleteTopic,Grants permission to delete a topic and all its subscriptions,Write,topic*,,
12,GetEndpointAttributes,"Grants permission to retrieve the endpoint attributes for a device on one of the supported push notification services, such as GCM and APNS",Read,,,
13,GetPlatformApplicationAttributes,"Grants permission to retrieve the attributes of the platform application object for the supported push notification services, such as APNS and GCM",Read,,,
14,GetSMSAttributes,Grants permission to return the settings for sending SMS messages from your account,Read,,,
15,GetSMSSandboxAccountStatus,Grants permission to retrieve the sandbox status for the calling account in the target region,Read,,,
16,GetSubscriptionAttributes,Grants permission to return all of the properties of a subscription,Read,,,
17,GetTopicAttributes,Grants permission to return all of the properties of a topic,Read,topic*,,
18,ListEndpointsByPlatformApplication,"Grants permission to list the endpoints and endpoint attributes for devices in a supported push notification service, such as GCM and APNS",List,,,
19,ListOriginationNumbers,"Grants permission to list all origination numbers, and their metadata",List,,,
20,ListPhoneNumbersOptedOut,"Grants permission to return a list of phone numbers that are opted out, meaning you cannot send SMS messages to them",Read,,,
21,ListPlatformApplications,"Grants permission to list the platform application objects for the supported push notification services, such as APNS and GCM",List,,,
22,ListSMSSandboxPhoneNumbers,Grants permission to list the calling account's current pending and verified destination phone numbers,List,,,
23,ListSubscriptions,Grants permission to return a list of the requester's subscriptions,List,,,
24,ListSubscriptionsByTopic,Grants permission to return a list of the subscriptions to a specific topic,List,topic*,,
25,ListTagsForResource,Grants permission to list all tags added to the specified Amazon SNS topic,Read,topic,,
26,ListTopics,Grants permission to return a list of the requester's topics,List,,,
27,OptInPhoneNumber,"Grants permission to opt in a phone number that is currently opted out, which enables you to resume sending SMS messages to the number",Write,,,
28,Publish,Grants permission to send a message to all of a topic's subscribed endpoints,Write,topic*,,
29,RemovePermission,Grants permission to remove a statement from a topic's access control policy,Permissions management,topic*,,
30,SetEndpointAttributes,"Grants permission to set the attributes for an endpoint for a device on one of the supported push notification services, such as GCM and APNS",Write,,,
31,SetPlatformApplicationAttributes,"Grants permission to set the attributes of the platform application object for the supported push notification services, such as APNS and GCM",Write,,,iam:PassRole
32,SetSMSAttributes,Grants permission to set the default settings for sending SMS messages and receiving daily SMS usage reports,Write,,,
33,SetSubscriptionAttributes,Grants permission to allow a subscription owner to set an attribute of the topic to a new value,Write,,,
34,SetTopicAttributes,Grants permission to allow a topic owner to set an attribute of the topic to a new value,Write,topic*,,iam:PassRole
35,Subscribe,Grants permission to prepare to subscribe an endpoint by sending the endpoint a confirmation message,Write,topic*,,
36,Subscribe,Grants permission to prepare to subscribe an endpoint by sending the endpoint a confirmation message,Write,,sns:Endpoint  sns:Protocol,
37,TagResource,Grants permission to add tags to the specified Amazon SNS topic,Tagging,topic,,
38,TagResource,Grants permission to add tags to the specified Amazon SNS topic,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
39,Unsubscribe,Grants permission to delete a subscription,Write,,,
40,UntagResource,Grants permission to remove tags from the specified Amazon SNS topic,Tagging,topic,,
41,UntagResource,Grants permission to remove tags from the specified Amazon SNS topic,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
42,VerifySMSSandboxPhoneNumber,Grants permission to verify a destination phone number with a one-time password (OTP) for an AWS account,Write,,,
