,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateCallAnalyticsCategory,Grants permission to create an analytics category. Amazon Transcribe applies the conditions specified by your analytics categories to your call analytics jobs,Write,,,
1,CreateLanguageModel,Grants permission to create a new custom language model,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,s3:GetObject  s3:ListBucket
2,CreateMedicalVocabulary,Grants permission to create a new custom vocabulary that you can use to change the way Amazon Transcribe Medical handles transcription of an audio file,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,s3:GetObject
3,CreateVocabulary,Grants permission to create a new custom vocabulary that you can use to change the way Amazon Transcribe handles transcription of an audio file,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,s3:GetObject
4,CreateVocabularyFilter,Grants permission to create a new vocabulary filter that you can use to filter out words from the transcription of an audio file generated by Amazon Transcribe,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,s3:GetObject
5,DeleteCallAnalyticsCategory,Grants permission to delete a call analytics category using its name from Amazon Transcribe,Write,,,
6,DeleteCallAnalyticsJob,"Grants permission to delete a previously submitted call analytics job along with any other generated results such as the transcription, models, and so on",Write,,,
7,DeleteLanguageModel,Grants permission to delete a previously created custom language model,Write,languagemodel*,,
8,DeleteMedicalTranscriptionJob,Grants permission to delete a previously submitted medical transcription job,Write,medicaltranscriptionjob*,,
9,DeleteMedicalVocabulary,Grants permission to delete a medical vocabulary from Amazon Transcribe,Write,medicalvocabulary*,,
10,DeleteTranscriptionJob,"Grants permission to delete a previously submitted transcription job along with any other generated results such as the transcription, models, and so on",Write,transcriptionjob*,,
11,DeleteVocabulary,Grants permission to delete a vocabulary from Amazon Transcribe,Write,vocabulary*,,
12,DeleteVocabularyFilter,Grants permission to delete a vocabulary filter from Amazon Transcribe,Write,vocabularyfilter*,,
13,DescribeLanguageModel,Grants permission to return information about a custom language model,Read,languagemodel*,,
14,GetCallAnalyticsCategory,Grants permission to retrieve information about a call analytics category,Read,,,
15,GetCallAnalyticsJob,Grants permission to return information about a call analytics job,Read,,,
16,GetMedicalTranscriptionJob,Grants permission to return information about a medical transcription job,Read,medicaltranscriptionjob*,,
17,GetMedicalVocabulary,Grants permission to get information about a medical vocabulary,Read,medicalvocabulary*,,
18,GetTranscriptionJob,Grants permission to return information about a transcription job,Read,transcriptionjob*,,
19,GetVocabulary,Grants permission to to get information about a vocabulary,Read,vocabulary*,,
20,GetVocabularyFilter,Grants permission to get information about a vocabulary filter,Read,vocabularyfilter*,,
21,ListCallAnalyticsCategories,Grants permission to list call analytics categories that has been created,List,,,
22,ListCallAnalyticsJobs,Grants permission to list call analytics jobs with the specified status,List,,,
23,ListLanguageModels,Grants permission to list custom language models,List,,,
24,ListMedicalTranscriptionJobs,Grants permission to list medical transcription jobs with the specified status,List,,,
25,ListMedicalVocabularies,"Grants permission to return a list of medical vocabularies that match the specified criteria. If no criteria are specified, returns the entire list of vocabularies",List,,,
26,ListTagsForResource,Grants permission to list tags for a resource,Read,,,
27,ListTranscriptionJobs,Grants permission to list transcription jobs with the specified status,List,,,
28,ListVocabularies,"Grants permission to return a list of vocabularies that match the specified criteria. If no criteria are specified, returns the entire list of vocabularies",List,,,
29,ListVocabularyFilters,"Grants permission to return a list of vocabulary filters that match the specified criteria. If no criteria are specified, returns the at most 5 vocabulary filters",List,,,
30,StartCallAnalyticsJob,"Grants permission to start an asynchronous analytics job that not only transcribes the audio recording of a caller and agent, but also returns additional insights",Write,,transcribe:OutputEncryptionKMSKeyId  transcribe:OutputLocation,s3:GetObject
31,StartMedicalStreamTranscription,Grants permission to start a protocol where audio is streamed to Transcribe Medical and the transcription results are streamed to your application,Write,,,
32,StartMedicalStreamTranscriptionWebSocket,Grants permission to start a WebSocket where audio is streamed to Transcribe Medical and the transcription results are streamed to your application,Write,,,
33,StartMedicalTranscriptionJob,Grants permission to start an asynchronous job to transcribe medical speech to text,Write,,transcribe:OutputBucketName  transcribe:OutputEncryptionKMSKeyId  transcribe:OutputKey  aws:RequestTag/${TagKey}  aws:TagKeys,s3:GetObject
34,StartStreamTranscription,Grants permission to start a bidirectional HTTP2 stream to transcribe speech to text in real time,Write,,,
35,StartStreamTranscriptionWebSocket,Grants permission to start a websocket stream to transcribe speech to text in real time,Write,,,
36,StartTranscriptionJob,Grants permission to start an asynchronous job to transcribe speech to text,Write,,transcribe:OutputBucketName  transcribe:OutputEncryptionKMSKeyId  transcribe:OutputKey  aws:RequestTag/${TagKey}  aws:TagKeys,s3:GetObject
37,TagResource,Grants permission to tag a resource with given key value pairs,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
38,UntagResource,Grants permission to untag a resource with given key,Tagging,,aws:TagKeys,
39,UpdateCallAnalyticsCategory,Grants permission to update the call analytics category with new values. The UpdateCallAnalyticsCategory operation overwrites all of the existing information with the values that you provide in the request,Write,,,
40,UpdateMedicalVocabulary,Grants permission to update an existing medical vocabulary with new values. The UpdateMedicalVocabulary operation overwrites all of the existing information with the values that you provide in the request,Write,medicalvocabulary*,,s3:GetObject
41,UpdateVocabulary,Grants permission to update an existing vocabulary with new values. The UpdateVocabulary operation overwrites all of the existing information with the values that you provide in the request,Write,vocabulary*,,s3:GetObject
42,UpdateVocabularyFilter,Grants permission to update an existing vocabulary filter with new values. The UpdateVocabularyFilter operation overwrites all of the existing information with the values that you provide in the request,Write,vocabularyfilter*,,s3:GetObject
