,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddMembersToGroup [permission only],Grants permission to add a list of members (users or groups) to a group,Write,organization*,,
1,AssociateDelegateToResource,Grants permission to add a member (user or group) to the resource's set of delegates,Write,organization*,,
2,AssociateMemberToGroup,Grants permission to add a member (user or group) to the group's set,Write,organization*,,
3,CancelMailboxExportJob,Grants permission to cancel a currently running mailbox export job,Write,organization*,,
4,CreateAlias,Grants permission to add an alias to the set of a given member (user or group) of WorkMail,Write,organization*,,
5,CreateGroup,Grants permission to create a group that can be used in WorkMail by calling the RegisterToWorkMail operation,Write,organization*,,
6,CreateInboundMailFlowRule [permission only],Grants permission to create an inbound email flow rule which will apply to all email sent to an organization,Write,organization*,,
7,CreateMailDomain [permission only],Grants permission to create a mail domain,Write,organization*,,
8,CreateMailUser [permission only],Grants permission to create a user in the directory,Write,organization*,,
9,CreateMobileDeviceAccessRule,Grants permission to create a new mobile device access rule,Write,organization*,,
10,CreateOrganization,Grants permission to create a new Amazon WorkMail organization,Write,,,
11,CreateOutboundMailFlowRule [permission only],Grants permission to create an outbound email flow rule which will apply to all email sent from an organization,Write,organization*,,
12,CreateResource,Grants permission to create a new WorkMail resource,Write,organization*,,
13,CreateSmtpGateway [permission only],Grants permission to register an SMTP gateway to a WorkMail organization,Write,organization*,,
14,CreateUser,"Grants permission to create a user, which can be enabled afterwards by calling the RegisterToWorkMail operation",Write,organization*,,
15,DeleteAccessControlRule,Grants permission to delete an access control rule,Write,organization*,,
16,DeleteAlias,Grants permission to remove one or more specified aliases from a set of aliases for a given user,Write,organization*,,
17,DeleteEmailMonitoringConfiguration,Grants permission to delete the email monitoring configuration for an organization,Write,organization*,,
18,DeleteGroup,Grants permission to delete a group from WorkMail,Write,organization*,,
19,DeleteInboundMailFlowRule [permission only],Grants permission to remove an inbound email flow rule to no longer apply to emails sent to an organization,Write,organization*,,
20,DeleteMailDomain [permission only],Grants permission to remove an unused mail domain from an organization,Write,organization*,,
21,DeleteMailboxPermissions,Grants permission to delete permissions granted to a member (user or group),Write,organization*,,
22,DeleteMobileDevice [permission only],Grants permission to remove a mobile device from a user,Write,organization*,,
23,DeleteMobileDeviceAccessOverride,Grants permission to delete a mobile device access override,Write,organization*,,
24,DeleteMobileDeviceAccessRule,Grants permission to delete a mobile device access rule,Write,organization*,,
25,DeleteOrganization,Grants permission to delete an Amazon WorkMail organization and all underlying AWS resources managed by Amazon WorkMail as part of the organization,Write,organization*,,
26,DeleteOutboundMailFlowRule [permission only],Grants permission to remove an outbound email flow rule so that it no longer applies to emails sent from an organization,Write,organization*,,
27,DeleteResource,Grants permission to delete the specified resource,Write,organization*,,
28,DeleteRetentionPolicy,Grants permission to delete the retention policy based on the supplied organization and policy identifiers,Write,organization*,,
29,DeleteSmtpGateway [permission only],Grants permission to remove an SMTP gateway from an organization,Write,organization*,,
30,DeleteUser,Grants permission to delete a user from WorkMail and all subsequent systems,Write,organization*,,
31,DeregisterFromWorkMail,"Grants permission to mark a user, group, or resource as no longer used in WorkMail",Write,organization*,,
32,DeregisterMailDomain,Grants permission to deregister a mail domain from an organization,Write,organization*,,
33,DescribeDirectories [permission only],Grants permission to show a list of directories available for use in creating an organization,List,,,
34,DescribeEmailMonitoringConfiguration,Grants permission to retrieve the email monitoring configuration for an organization,Read,organization*,,
35,DescribeGroup,Grants permission to read the details for a group,List,organization*,,
36,DescribeInboundDmarcSettings,Grants permission to read the settings in a DMARC policy for a specified organization,Read,organization*,,
37,DescribeInboundMailFlowRule [permission only],Grants permission to read the details of an inbound mail flow rule configured for an organization,Read,organization*,,
