,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateApplication,Grants permission to create an application from a resource group,Write,,,
1,CreateComponent,Grants permission to create a component from a group of resources,Write,,,
2,CreateLogPattern,Grants permission to create log a pattern,Write,,,
3,DeleteApplication,Grants permission to delete an application,Write,,,
4,DeleteComponent,Grants permission to delete a component,Write,,,
5,DeleteLogPattern,Grants permission to delete a log pattern,Write,,,
6,DescribeApplication,Grants permission to describe an application,Read,,,
7,DescribeComponent,Grants permission to describe a component,Read,,,
8,DescribeComponentConfiguration,Grants permission to describe a component's configuration,Read,,,
9,DescribeComponentConfigurationRecommendation,Grants permission to describe the recommended application component configuration,Read,,,
10,DescribeLogPattern,Grants permission to describe a log pattern,Read,,,
11,DescribeObservation,Grants permission to describe an observation,Read,,,
12,DescribeProblem,Grants permission to describe a problem,Read,,,
13,DescribeProblemObservations,Grants permission to describe the observation in a problem,Read,,,
14,ListApplications,Grants permission to list all applications,List,,,
15,ListComponents,Grants permission to list an application's components,List,,,
16,ListConfigurationHistory,Grants permission to list configuration history,List,,,
17,ListLogPatternSets,Grants permission to list log pattern sets for an application,List,,,
18,ListLogPatterns,Grants permission to list log patterns,List,,,
19,ListProblems,Grants permission to list the problems in an application,List,,,
20,ListTagsForResource,Grants permission to list tags for the resource,Read,,,
21,TagResource,Grants permission to tag a resource,Tagging,,,
22,UntagResource,Grants permission to untag a resource,Tagging,,,
23,UpdateApplication,Grants permission to update an application,Write,,,
24,UpdateComponent,Grants permission to update a component,Write,,,
25,UpdateComponentConfiguration,Grants permission to update a component's configuration,Write,,,
26,UpdateLogPattern,Grants permission to update a log pattern,Write,,,
