,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddListenerCertificates,Adds the specified certificates to the specified secure listener,Write,listener/app*,,
1,AddListenerCertificates,Adds the specified certificates to the specified secure listener,Write,listener/net*,,
2,AddTags,Adds the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,listener-rule/app,,
3,AddTags,Adds the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,listener-rule/net,,
4,AddTags,Adds the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,listener/app,,
5,AddTags,Adds the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,listener/net,,
6,AddTags,Adds the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,loadbalancer/app/,,
7,AddTags,Adds the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,loadbalancer/net/,,
8,AddTags,Adds the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,targetgroup,,
9,AddTags,Adds the specified tags to the specified load balancer. Each load balancer can have a maximum of 10 tags,Tagging,,aws:RequestTag/${TagKey}  aws:TagKeys,
10,CreateListener,Creates a listener for the specified Application Load Balancer,Write,loadbalancer/app/,,
11,CreateListener,Creates a listener for the specified Application Load Balancer,Write,loadbalancer/net/,,
12,CreateListener,Creates a listener for the specified Application Load Balancer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
13,CreateLoadBalancer,Creates a load balancer,Write,loadbalancer/app/,,
14,CreateLoadBalancer,Creates a load balancer,Write,loadbalancer/net/,,
15,CreateLoadBalancer,Creates a load balancer,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
16,CreateRule,Creates a rule for the specified listener,Write,listener/app*,,
17,CreateRule,Creates a rule for the specified listener,Write,listener/net*,,
18,CreateRule,Creates a rule for the specified listener,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
19,CreateTargetGroup,Creates a target group,Write,targetgroup*,,
20,CreateTargetGroup,Creates a target group,Write,,aws:RequestTag/${TagKey}  aws:TagKeys,
21,DeleteListener,Deletes the specified listener,Write,listener/app*,,
