,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,CreateCampaign,Grants permission to create a campaign,Write,campaign*,,
1,CreateCampaign,Grants permission to create a campaign,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
2,DeleteCampaign,Grants permission to delete a campaign,Write,campaign*,,
3,DescribeCampaign,Grants permission to describe a specific campaign,Read,campaign*,,
4,DescribeCampaign,Grants permission to describe a specific campaign,Read,,aws:RequestTag/${TagKey},
5,GetCampaignState,Grants permission to get state of a campaign,Read,campaign*,,
6,GetCampaignState,Grants permission to get state of a campaign,Read,,aws:RequestTag/${TagKey},
7,GetCampaignStateBatch,Grants permission to get state of campaigns,Read,campaign*,,
8,GetCampaignStateBatch,Grants permission to get state of campaigns,Read,,aws:RequestTag/${TagKey},
9,ListCampaigns,Grants permission to provide summary of all campaigns,List,,aws:RequestTag/${TagKey},
10,ListTagsForResource,Grants permission to list tags for a resource,Read,campaign,,
11,ListTagsForResource,Grants permission to list tags for a resource,Read,,aws:ResourceTag/${TagKey},
12,PauseCampaign,Grants permission to pause a campaign,Write,campaign*,,
13,PutConnectInstanceConfig,Grants permission to add configuration information for an Amazon Connect instance,Write,,,
14,PutDialRequestBatch,Grants permission to create dial requests for the specified campaign,Write,campaign*,,
15,ResumeCampaign,Grants permission to resume a campaign,Write,campaign*,,
16,StartCampaign,Grants permission to start a campaign,Write,campaign*,,
17,StopCampaign,Grants permission to stop a campaign,Write,campaign*,,
18,TagResource,Grants permission to tag a resource,Tagging,campaign,,
19,TagResource,Grants permission to tag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
20,UntagResource,Grants permission to untag a resource,Tagging,campaign,,
21,UntagResource,Grants permission to untag a resource,Tagging,,aws:TagKeys  aws:RequestTag/${TagKey},
22,UpdateCampaignDialerConfig,Grants permission to update the dialer configuration of a campaign,Write,campaign*,,
23,UpdateCampaignName,Grants permission to update the name of a campaign,Write,campaign*,,
24,UpdateCampaignOutboundCallConfig,Grants permission to update the outbound call configuration of a campaign,Write,campaign*,,
