,Actions,Description,Access level,Resource types (*required),Condition keys,Dependent actions
0,AddClientIDToOpenIDConnectProvider,Grants permission to add a new client ID (audience) to the list of registered IDs for the specified IAM OpenID Connect (OIDC) provider resource,Write,oidc-provider*,,
1,AddRoleToInstanceProfile,Grants permission to add an IAM role to the specified instance profile,Write,instance-profile*,,iam:PassRole
2,AddUserToGroup,Grants permission to add an IAM user to the specified IAM group,Write,group*,,
3,AttachGroupPolicy,Grants permission to attach a managed policy to the specified IAM group,Permissions management,group*,,
4,AttachGroupPolicy,Grants permission to attach a managed policy to the specified IAM group,Permissions management,,iam:PolicyARN,
5,AttachRolePolicy,Grants permission to attach a managed policy to the specified IAM role,Permissions management,role*,,
6,AttachRolePolicy,Grants permission to attach a managed policy to the specified IAM role,Permissions management,,iam:PolicyARN  iam:PermissionsBoundary,
7,AttachUserPolicy,Grants permission to attach a managed policy to the specified IAM user,Permissions management,user*,,
8,AttachUserPolicy,Grants permission to attach a managed policy to the specified IAM user,Permissions management,,iam:PolicyARN  iam:PermissionsBoundary,
9,ChangePassword,Grants permission for an IAM user to to change their own password,Write,user*,,
10,CreateAccessKey,Grants permission to create access key and secret access key for the specified IAM user,Write,user*,,
11,CreateAccountAlias,Grants permission to create an alias for your AWS account,Write,,,
12,CreateGroup,Grants permission to create a new group,Write,group*,,
13,CreateInstanceProfile,Grants permission to create a new instance profile,Write,instance-profile*,,
14,CreateInstanceProfile,Grants permission to create a new instance profile,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
15,CreateLoginProfile,Grants permission to create a password for the specified IAM user,Write,user*,,
16,CreateOpenIDConnectProvider,Grants permission to create an IAM resource that describes an identity provider (IdP) that supports OpenID Connect (OIDC),Write,oidc-provider*,,
17,CreateOpenIDConnectProvider,Grants permission to create an IAM resource that describes an identity provider (IdP) that supports OpenID Connect (OIDC),Write,,aws:TagKeys  aws:RequestTag/${TagKey},
18,CreatePolicy,Grants permission to create a new managed policy,Permissions management,policy*,,
19,CreatePolicy,Grants permission to create a new managed policy,Permissions management,,aws:TagKeys  aws:RequestTag/${TagKey},
20,CreatePolicyVersion,Grants permission to create a new version of the specified managed policy,Permissions management,policy*,,
21,CreateRole,Grants permission to create a new role,Write,role*,,
22,CreateRole,Grants permission to create a new role,Write,,iam:PermissionsBoundary  aws:TagKeys  aws:RequestTag/${TagKey},
23,CreateSAMLProvider,Grants permission to create an IAM resource that describes an identity provider (IdP) that supports SAML 2.0,Write,saml-provider*,,
24,CreateSAMLProvider,Grants permission to create an IAM resource that describes an identity provider (IdP) that supports SAML 2.0,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
25,CreateServiceLinkedRole,Grants permission to create an IAM role that allows an AWS service to perform actions on your behalf,Write,role*,,
26,CreateServiceLinkedRole,Grants permission to create an IAM role that allows an AWS service to perform actions on your behalf,Write,,iam:AWSServiceName,
27,CreateServiceSpecificCredential,Grants permission to create a new service-specific credential for an IAM user,Write,user*,,
28,CreateUser,Grants permission to create a new IAM user,Write,user*,,
29,CreateUser,Grants permission to create a new IAM user,Write,,iam:PermissionsBoundary  aws:TagKeys  aws:RequestTag/${TagKey},
30,CreateVirtualMFADevice,Grants permission to create a new virtual MFA device,Write,mfa*,,
31,CreateVirtualMFADevice,Grants permission to create a new virtual MFA device,Write,,aws:TagKeys  aws:RequestTag/${TagKey},
32,DeactivateMFADevice,Grants permission to deactivate the specified MFA device and remove its association with the IAM user for which it was originally enabled,Write,user*,,
33,DeleteAccessKey,Grants permission to delete the access key pair that is associated with the specified IAM user,Write,user*,,
34,DeleteAccountAlias,Grants permission to delete the specified AWS account alias,Write,,,
35,DeleteAccountPasswordPolicy,Grants permission to delete the password policy for the AWS account,Permissions management,,,
36,DeleteGroup,Grants permission to delete the specified IAM group,Write,group*,,
37,DeleteGroupPolicy,Grants permission to delete the specified inline policy from its group,Permissions management,group*,,
38,DeleteInstanceProfile,Grants permission to delete the specified instance profile,Write,instance-profile*,,
39,DeleteLoginProfile,Grants permission to delete the password for the specified IAM user,Write,user*,,
40,DeleteOpenIDConnectProvider,Grants permission to delete an OpenID Connect identity provider (IdP) resource object in IAM,Write,oidc-provider*,,
41,DeletePolicy,"Grants permission to delete the specified managed policy and remove it from any IAM entities (users, groups, or roles) to which it is attached",Permissions management,policy*,,
42,DeletePolicyVersion,Grants permission to delete a version from the specified managed policy,Permissions management,policy*,,
43,DeleteRole,Grants permission to delete the specified role,Write,role*,,
44,DeleteRolePermissionsBoundary,Grants permission to remove the permissions boundary from a role,Permissions management,role*,,
45,DeleteRolePermissionsBoundary,Grants permission to remove the permissions boundary from a role,Permissions management,,iam:PermissionsBoundary,
46,DeleteRolePolicy,Grants permission to delete the specified inline policy from the specified role,Permissions management,role*,,
47,DeleteRolePolicy,Grants permission to delete the specified inline policy from the specified role,Permissions management,,iam:PermissionsBoundary,
48,DeleteSAMLProvider,Grants permission to delete a SAML provider resource in IAM,Write,saml-provider*,,
49,DeleteSSHPublicKey,Grants permission to delete the specified SSH public key,Write,user*,,
50,DeleteServerCertificate,Grants permission to delete the specified server certificate,Write,server-certificate*,,
51,DeleteServiceLinkedRole,"Grants permission to delete an IAM role that is linked to a specific AWS service, if the service is no longer using it",Write,role*,,
52,DeleteServiceSpecificCredential,Grants permission to delete the specified service-specific credential for an IAM user,Write,user*,,
53,DeleteSigningCertificate,Grants permission to delete a signing certificate that is associated with the specified IAM user,Write,user*,,
54,DeleteUser,Grants permission to delete the specified IAM user,Write,user*,,
55,DeleteUserPermissionsBoundary,Grants permission to remove the permissions boundary from the specified IAM user,Permissions management,user*,,
56,DeleteUserPermissionsBoundary,Grants permission to remove the permissions boundary from the specified IAM user,Permissions management,,iam:PermissionsBoundary,
57,DeleteUserPolicy,Grants permission to delete the specified inline policy from an IAM user,Permissions management,user*,,
58,DeleteUserPolicy,Grants permission to delete the specified inline policy from an IAM user,Permissions management,,iam:PermissionsBoundary,
59,DeleteVirtualMFADevice,Grants permission to delete a virtual MFA device,Write,mfa,,
60,DeleteVirtualMFADevice,Grants permission to delete a virtual MFA device,Write,sms-mfa,,
61,DetachGroupPolicy,Grants permission to detach a managed policy from the specified IAM group,Permissions management,group*,,
62,DetachGroupPolicy,Grants permission to detach a managed policy from the specified IAM group,Permissions management,,iam:PolicyARN,
63,DetachRolePolicy,Grants permission to detach a managed policy from the specified role,Permissions management,role*,,
64,DetachRolePolicy,Grants permission to detach a managed policy from the specified role,Permissions management,,iam:PolicyARN  iam:PermissionsBoundary,
65,DetachUserPolicy,Grants permission to detach a managed policy from the specified IAM user,Permissions management,user*,,
66,DetachUserPolicy,Grants permission to detach a managed policy from the specified IAM user,Permissions management,,iam:PolicyARN  iam:PermissionsBoundary,
67,EnableMFADevice,Grants permission to enable an MFA device and associate it with the specified IAM user,Write,user*,,
68,GenerateCredentialReport,Grants permission to generate a credential report for the AWS account,Read,,,
69,GenerateOrganizationsAccessReport,Grants permission to generate an access report for an AWS Organizations entity,Read,access-report*,,organizations:DescribePolicy  organizations:ListChildren  organizations:ListParents  organizations:ListPoliciesForTarget  organizations:ListRoots  organizations:ListTargetsForPolicy
70,GenerateOrganizationsAccessReport,Grants permission to generate an access report for an AWS Organizations entity,Read,,iam:OrganizationsPolicyId,
71,GenerateServiceLastAccessedDetails,Grants permission to generate a service last accessed data report for an IAM resource,Read,group*,,
72,GenerateServiceLastAccessedDetails,Grants permission to generate a service last accessed data report for an IAM resource,Read,policy*,,
73,GenerateServiceLastAccessedDetails,Grants permission to generate a service last accessed data report for an IAM resource,Read,role*,,
74,GenerateServiceLastAccessedDetails,Grants permission to generate a service last accessed data report for an IAM resource,Read,user*,,
75,GetAccessKeyLastUsed,Grants permission to retrieve information about when the specified access key was last used,Read,user*,,
76,GetAccountAuthorizationDetails,"Grants permission to retrieve information about all IAM users, groups, roles, and policies in your AWS account, including their relationships to one another",Read,,,
77,GetAccountPasswordPolicy,Grants permission to retrieve the password policy for the AWS account,Read,,,
78,GetAccountSummary,Grants permission to retrieve information about IAM entity usage and IAM quotas in the AWS account,List,,,
79,GetContextKeysForCustomPolicy,Grants permission to retrieve a list of all of the context keys that are referenced in the specified policy,Read,,,
80,GetContextKeysForPrincipalPolicy,"Grants permission to retrieve a list of all context keys that are referenced in all IAM policies that are attached to the specified IAM identity (user, group, or role)",Read,group,,
81,GetContextKeysForPrincipalPolicy,"Grants permission to retrieve a list of all context keys that are referenced in all IAM policies that are attached to the specified IAM identity (user, group, or role)",Read,role,,
82,GetContextKeysForPrincipalPolicy,"Grants permission to retrieve a list of all context keys that are referenced in all IAM policies that are attached to the specified IAM identity (user, group, or role)",Read,user,,
83,GetCredentialReport,Grants permission to retrieve a credential report for the AWS account,Read,,,
84,GetGroup,Grants permission to retrieve a list of IAM users in the specified IAM group,Read,group*,,
85,GetGroupPolicy,Grants permission to retrieve an inline policy document that is embedded in the specified IAM group,Read,group*,,
86,GetInstanceProfile,"Grants permission to retrieve information about the specified instance profile, including the instance profile's path, GUID, ARN, and role",Read,instance-profile*,,
87,GetLoginProfile,Grants permission to retrieve the user name and password creation date for the specified IAM user,List,user*,,
88,GetOpenIDConnectProvider,Grants permission to retrieve information about the specified OpenID Connect (OIDC) provider resource in IAM,Read,oidc-provider*,,
89,GetOrganizationsAccessReport,Grants permission to retrieve an AWS Organizations access report,Read,,,
90,GetPolicy,"Grants permission to retrieve information about the specified managed policy, including the policy's default version and the total number of identities to which the policy is attached",Read,policy*,,
91,GetPolicyVersion,"Grants permission to retrieve information about a version of the specified managed policy, including the policy document",Read,policy*,,
92,GetRole,"Grants permission to retrieve information about the specified role, including the role's path, GUID, ARN, and the role's trust policy",Read,role*,,
93,GetRolePolicy,Grants permission to retrieve an inline policy document that is embedded with the specified IAM role,Read,role*,,
94,GetSAMLProvider,Grants permission to retrieve the SAML provider metadocument that was uploaded when the IAM SAML provider resource was created or updated,Read,saml-provider*,,
95,GetSSHPublicKey,"Grants permission to retrieve the specified SSH public key, including metadata about the key",Read,user*,,
96,GetServerCertificate,Grants permission to retrieve information about the specified server certificate stored in IAM,Read,server-certificate*,,
97,GetServiceLastAccessedDetails,Grants permission to retrieve information about the service last accessed data report,Read,,,
