ServiceName;Alias;Permission;Action;Description;AccessLevel;Resource
AWS Account Management;account;DeleteAlternateContact;account:DeleteAlternateContact;Grants permission to delete the alternate contacts for an account;Write;True
AWS Account Management;account;DisableRegion;account:DisableRegion;Grants permission to disable use of a Region;Write;False
AWS Account Management;account;EnableRegion;account:EnableRegion;Grants permission to enable use of a Region;Write;False
AWS Account Management;account;GetAlternateContact;account:GetAlternateContact;Grants permission to retrieve the alternate contacts for an account;Read;True
AWS Account Management;account;GetContactInformation;account:GetContactInformation;Grants permission to retrieve the primary contact information for an account;Read;True
AWS Account Management;account;ListRegions;account:ListRegions;Grants permission to list the available Regions;List;False
AWS Account Management;account;PutAlternateContact;account:PutAlternateContact;Grants permission to modify the alternate contacts for an account;Write;True
AWS Account Management;account;PutContactInformation;account:PutContactInformation;Grants permission to update the primary contact information for an account;Write;True
AWS Activate;activate;CreateForm;activate:CreateForm;Grants permission to submit an Activate application form;Write;False
AWS Activate;activate;GetAccountContact;activate:GetAccountContact;Grants permission to get the AWS account contact information;Read;False
AWS Activate;activate;GetContentInfo;activate:GetContentInfo;Grants permission to get Activate tech posts and offer information;Read;False
AWS Activate;activate;GetCosts;activate:GetCosts;Grants permission to get the AWS cost information;Read;False
AWS Activate;activate;GetCredits;activate:GetCredits;Grants permission to get the AWS credit information;Read;False
AWS Activate;activate;GetMemberInfo;activate:GetMemberInfo;Grants permission to get the Activate member information;Read;False
AWS Activate;activate;GetProgram;activate:GetProgram;Grants permission to get an Activate program;Read;False
AWS Activate;activate;PutMemberInfo;activate:PutMemberInfo;Grants permission to create or update the Activate member information;Write;False
Alexa for Business;a4b;ApproveSkill;a4b:ApproveSkill;Grants permission to associate a skill with the organization under the customer's AWS account;Write;False
Alexa for Business;a4b;AssociateContactWithAddressBook;a4b:AssociateContactWithAddressBook;Grants permission to associate a contact with a given address book;Write;True
Alexa for Business;a4b;AssociateDeviceWithNetworkProfile;a4b:AssociateDeviceWithNetworkProfile;Grants permission to associate a device with the specified network profile;Write;True
Alexa for Business;a4b;AssociateDeviceWithRoom;a4b:AssociateDeviceWithRoom;Grants permission to associate device with given room;Write;True
Alexa for Business;a4b;AssociateSkillGroupWithRoom;a4b:AssociateSkillGroupWithRoom;Grants permission to associate the skill group with given room;Write;True
Alexa for Business;a4b;AssociateSkillWithSkillGroup;a4b:AssociateSkillWithSkillGroup;Grants permission to associate a skill with a skill group;Write;True
Alexa for Business;a4b;AssociateSkillWithUsers;a4b:AssociateSkillWithUsers;Grants permission to make a private skill available for enrolled users to enable on their devices;Write;False
Alexa for Business;a4b;CompleteRegistration [permission only];a4b:CompleteRegistration [permission only];Grants permission to complete the operation of registering an Alexa device;Write;False
Alexa for Business;a4b;CreateAddressBook;a4b:CreateAddressBook;Grants permission to create an address book with the specified details;Write;False
Alexa for Business;a4b;CreateBusinessReportSchedule;a4b:CreateBusinessReportSchedule;Grants permission to create a recurring schedule for usage reports to deliver to the specified S3 location with a specified daily or weekly interval;Write;False
Alexa for Business;a4b;CreateConferenceProvider;a4b:CreateConferenceProvider;Grants permission to add a new conference provider under the user's AWS account;Write;False
Alexa for Business;a4b;CreateContact;a4b:CreateContact;Grants permission to create a contact with the specified details;Write;False
Alexa for Business;a4b;CreateGatewayGroup;a4b:CreateGatewayGroup;Grants permission to create a gateway group with the specified details;Write;False
Alexa for Business;a4b;CreateNetworkProfile;a4b:CreateNetworkProfile;Grants permission to create a network profile with the specified details;Write;False
Alexa for Business;a4b;CreateProfile;a4b:CreateProfile;Grants permission to create a new profile;Write;False
Alexa for Business;a4b;CreateRoom;a4b:CreateRoom;Grants permission to create room with the specified details;Write;True
Alexa for Business;a4b;CreateSkillGroup;a4b:CreateSkillGroup;Grants permission to create a skill group with given name and description;Write;False
Alexa for Business;a4b;CreateUser;a4b:CreateUser;Grants permission to create a user;Write;True
Alexa for Business;a4b;DeleteAddressBook;a4b:DeleteAddressBook;Grants permission to delete an address book by the address book ARN;Write;True
Alexa for Business;a4b;DeleteBusinessReportSchedule;a4b:DeleteBusinessReportSchedule;Grants permission to delete the recurring report delivery schedule with the specified schedule ARN;Write;True
