StatementNumber;Action;AccessLevel;Resource;Description;Documentation
1;ec2:DeleteSnapshot;Write;True;Grants permission to delete a snapshot of an EBS volume;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
4;ec2:TerminateInstances;Write;True;Grants permission to shut down one or more instances;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
5;ec2:TerminateInstances;Write;True;Grants permission to shut down one or more instances;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
7;ec2:StopInstances;Write;True;Grants permission to stop an Amazon EBS-backed instance;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
7;ec2:DisassociateIamInstanceProfile;Write;True;Grants permission to disassociate an IAM instance profile from a running or stopped instance;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
7;ec2:GetConsoleOutput;Read;True;Grants permission to get the console output for an instance;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
7;ec2:AssociateIamInstanceProfile;Write;True;Grants permission to associate an IAM instance profile with a running or stopped instance;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html
7;iam:PassRole;Write;True;Grants permission to associate an IAM instance profile with a running or stopped instance;https://docs.aws.amazon.com/service-authorization/latest/reference/list_identityandaccessmanagement.html
7;kms:Decrypt;Write;True;Controls permission to decrypt ciphertext that was encrypted under an AWS KMS key;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;kms:CreateKey;Write;False;Controls permission to create an AWS KMS key that can be used to protect data keys and other sensitive information;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;kms:CreateGrant;Permissions management;True;Controls permission to add a grant to an AWS KMS key. You can use grants to add permissions without changing the key policy or IAM policy;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;kms:ReEncryptFrom;Write;True;Controls permission to decrypt data as part of the process that decrypts and reencrypts the data within AWS KMS;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;kms:ReEncryptTo;Write;True;Controls permission to encrypt data as part of the process that decrypts and reencrypts the data within AWS KMS;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;kms:GenerateDataKey;Write;True;Controls permission to use the AWS KMS key to generate data keys. You can use the data keys to encrypt data outside of AWS KMS;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;kms:GenerateDataKeyWithoutPlaintext;Write;True;Controls permission to use the AWS KMS key to generate a data key. Unlike the GenerateDataKey operation, this operation returns an encrypted data key without a plaintext version of the data key;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;kms:GenerateDataKeyPairWithoutPlaintext;Write;True;Controls permission to use the AWS KMS key to generate data key pairs. Unlike the GenerateDataKeyPair operation, this operation returns an encrypted private key without a plaintext copy;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;kms:GenerateDataKeyPair;Write;True;Controls permission to use the AWS KMS key to generate data key pairs;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;kms:Encrypt;Write;True;Controls permission to use the specified AWS KMS key to encrypt data and data keys;https://docs.aws.amazon.com/service-authorization/latest/reference/list_awskeymanagementservice.html
7;s3:PutBucketAcl;Permissions management;True;Grants permission to set the permissions on an existing bucket using access control lists (ACLs);https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
7;s3:PutObjectTagging;Tagging;True;Grants permission to set the supplied tag-set to an object that already exists in a bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
7;s3:DeleteObject;Write;True;Grants permission to remove the null version of an object and insert a delete marker, which becomes the current version of the object;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
7;s3:DeleteObjectVersion;Write;True;Grants permission to remove a specific version of an object;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
7;s3:PutObject;Write;True;Grants permission to add an object to a bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
7;s3:GetObject;Read;True;Grants permission to retrieve objects from Amazon S3;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
7;s3:PutObjectAcl;Permissions management;True;Grants permission to set the access control list (ACL) permissions for new or existing objects in an S3 bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazons3.html
8;iam:PassRole;Permissions management;True;Grants permission to set the access control list (ACL) permissions for new or existing objects in an S3 bucket;https://docs.aws.amazon.com/service-authorization/latest/reference/list_identityandaccessmanagement.html
